input,output,se_order,paradigm
"The place was nice and calm .| ( opinion , aspect )","( nice , place ) ; ( calm , place )",oa,extraction
"By the time we finished our dinner we still had not received one beverage NOR hooka !| ( aspect , sentiment )","( NULL , negative )",as,extraction
Other guests enjoyed pizza <comma> santa fe chopped salad and fish and chips .| ( aspect ),( pizza ) ; ( santa fe chopped salad ) ; ( fish and chips ),a,extraction
We will definitely go back .| ( aspect ),( NULL ),a,extraction
"In an area sadly lacking in decent Thai food <comma> this is one of the best spots .| ( opinion , aspect )","( decent , Thai food )",oa,extraction
"Not only is the cuisine the best around <comma> the service has always been attentive and charming .| ( opinion , aspect , sentiment , category )","( best , cuisine , positive , food quality ) ; ( attentive , service , positive , service general ) ; ( charming , service , positive , service general )",oasc,extraction
"Food is great .| ( aspect , sentiment )","( Food , positive )",as,extraction
This is my first time writing a review for a restaurant because the food and service was excellent .| ( opinion ),( excellent ) ; ( excellent ),o,extraction
The exotic food is beautifully presented and is a delight in delicious combinations .| ( category ),( food style_options ) ; ( food quality ),c,extraction
The hostess and the waitress were incredibly rude and did everything they could to rush us out .| ( category ),( service general ) ; ( service general ),c,extraction
Overall I would recommend it and go back again .| ( opinion ),( recommend ),o,extraction
"The food arrived 20 minutes after I called <comma> cold and soggy .| ( aspect , sentiment )","( food , negative ) ; ( food , negative ) ; ( NULL , negative )",as,extraction
"Service is average .| ( sentiment , category )","( neutral , service general )",sc,extraction
"First of all <comma> this place is *not* romantic <comma> as claimed by Citysearch ' s editorial review .| ( sentiment , category )","( negative , ambience general )",sc,extraction
My boyfriend had Prime Rib it was good .| ( category ),( food quality ),c,extraction
"Remind me of home .| ( opinion , aspect )","( home , NULL )",oa,extraction
"Their tuna tartar appetizer is to die for .| ( aspect , sentiment )","( tuna tartar appetizer , positive )",as,extraction
"We thought that this place is using too much of MSG cooking in the foods .| ( opinion , aspect )","( using too much of MSG , foods )",oa,extraction
"We all agreed that mare is one of the best seafood restaurants in New York .| ( sentiment , category )","( positive , restaurant general )",sc,extraction
"I loved it and would go again .| ( opinion , aspect , sentiment , category )","( loved , NULL , positive , restaurant general )",oasc,extraction
When we stumbled on Leon <comma> we thought that we had found quite the gem BUT <comma> we were certainly wrong .| ( category ),( restaurant general ),c,extraction
"Authentic Shanghai style and I can not recommend a better Shanghai place in New York .| ( opinion , aspect )","( can not recommend a better , NULL )",oa,extraction
"Have never had a problem with service save a missing rice once .| ( opinion , aspect )","( problem , service )",oa,extraction
"I really liked this place .| ( aspect , sentiment )","( place , positive )",as,extraction
"Friendly staff that actually lets you enjoy your meal and the company you ' re with .| ( sentiment , category )","( positive , service general )",sc,extraction
I would recommend Roxy ' s for that <comma> but not for their food .| ( aspect ),( food ) ; ( NULL ),a,extraction
"The food is authentic Italian - delicious !| ( opinion , aspect )","( authentic Italian , food ) ; ( delicious , food )",oa,extraction
