input,output
"Ekstrak NER dengan format >> entity : <extra_id_0>, entity_type : <extra_id_1> | Sementara itu Pengamat Pasar Modal Dandossi Matram mengatakan , sulit bagi sebuah kantor akuntan publik ( KAP ) untuk dapat menyelesaikan audit perusahaan sebesar Telkom dalam waktu 3 bulan .",<extra_id_0> Dandossi Matram <extra_id_1> person ; <extra_id_2> kantor akuntan publik <extra_id_3> organization ; <extra_id_4> KAP <extra_id_5> organization ; <extra_id_6> Telkom <extra_id_7> organization
"Ekstrak NER dengan format >> entity : <extra_id_0>, entity_type : <extra_id_1> | Telkom akan melakukan RUPS pada 30 Juli 2004 yang selain melaporkan kinerja 2003 juga akan meminta persetujuan untuk pemecahan nilai nominal saham atau stock split 1:2 .",<extra_id_0> Telkom <extra_id_1> organization
"Ekstrak NER dengan format >> entity : <extra_id_0>, entity_type : <extra_id_1> | Sehubungan dengan hal tersebut , saat ini addendum ( perubahan ) terhadap perjanjian perpanjangan sewa jaringan PT PSN oleh KPU sedang dalam proses pertimbangan .",<extra_id_0> PT PSN <extra_id_1> organization ; <extra_id_2> KPU <extra_id_3> organization
"Ekstrak NER dengan format >> entity : <extra_id_0>, entity_type : <extra_id_1> | Terutama mengenai langganan bulanan leased line channel untuk ruas Lemah Abang - Slipi ( Jakarta - Excelcom ) dan Lemah Abang - Imam Bonjol ( Jakarta - Telkom ) untuk tiga bulan ke depan yang sudah berakhir sejak 30 April 2004 .",<extra_id_0> Lemah Abang <extra_id_1> location ; <extra_id_2> Slipi <extra_id_3> location ; <extra_id_4> Jakarta <extra_id_5> location ; <extra_id_6> Lemah Abang <extra_id_7> location ; <extra_id_8> Imam Bonjol <extra_id_9> location ; <extra_id_10> Jakarta <extra_id_11> location ; <extra_id_12> Excelcom <extra_id_13> organization ; <extra_id_14> Telkom <extra_id_15> organization
"Ekstrak NER dengan format >> entity : <extra_id_0>, entity_type : <extra_id_1> | Sebab ia ingin memperkenalkan usahanya kepada masyarakat Maluku , khususnya para pengguna telepon rumah . Dengan meyakinkan , si kelompok penipu menyediakan surat kontrak berikut kwitansi pembayaran serta surat perjanjian yang berlogokan PT .",<extra_id_0> Maluku <extra_id_1> location
"Ekstrak NER dengan format >> entity : <extra_id_0>, entity_type : <extra_id_1> | Menurut Laks , status multi - listing bagi Telkom penting dalam rangka menjaga citra perseroan , walaupun sebetulnya saham Telkom bisa diserap investor lokal .",<extra_id_0> Laks <extra_id_1> person ; <extra_id_2> Telkom <extra_id_3> organization ; <extra_id_4> Telkom <extra_id_5> organization
"Ekstrak NER dengan format >> entity : <extra_id_0>, entity_type : <extra_id_1> | PT Telekomunikasi Indonesia Tbk ( Telkom ) akan melakukan pembiayaan kembali utang ( debt refinancing ) dalam valuta asing ( valas ) , guna mengurangi rugi valas akibat fluktuasi nilai tukar .",<extra_id_0> PT Telekomunikasi Indonesia Tbk <extra_id_1> organization ; <extra_id_2> Telkom <extra_id_3> organization
"Ekstrak NER dengan format >> entity : <extra_id_0>, entity_type : <extra_id_1> | Per semester pertama 2004 , total utang jangka panjang Telkom sebesar Rp 20,648 triliun .",<extra_id_0> Telkom <extra_id_1> organization
"Ekstrak NER dengan format >> entity : <extra_id_0>, entity_type : <extra_id_1> | PT Telkom membutuhkan dana lebih dari Rp 1 triliun untuk melakukan penyesuaian teknis dan sosialisasi terhadap perubahan kode akses yang akan mulai diberlakukan tahun depan .",<extra_id_0> PT Telkom <extra_id_1> organization
"Ekstrak NER dengan format >> entity : <extra_id_0>, entity_type : <extra_id_1> | Dengan masuknya PT Indosat ke dalam layanan jasa telekomunikasi dalam negeri , pemerintah memutuskan untuk mengubah kode akses percakapan Sambungan Langsung Jarak Jauh ( SLJJ ) .",<extra_id_0> PT Indosat <extra_id_1> organization
"Ekstrak NER dengan format >> entity : <extra_id_0>, entity_type : <extra_id_1> | Direktur Utama PT Pertamina ( Persero ) Widya Purnama membantah pihaknya menjadi penyandang dana utama mega kuis "" Indonesia Sukses "" senilai Rp 14,1 miliar .",<extra_id_0> PT Pertamina <extra_id_1> organization ; <extra_id_2> Widya Purnama <extra_id_3> person ; <extra_id_4> Indonesia <extra_id_5> location
