text,prompt,target,prediction,string_preds
Jalan DI Panjaitan 13 .,,[],[],NONE
"Itu akan menjadi kesempatan pertama BTS reuni secara langsung dengan fan atau ARMY hampir 2,5 tahun terakhir .",,[],[],NONE
"Dilansir dari situs resmi Oscar , berikut daftar pemenang dan nominasi Academy Awards 2022 .",,[],[],NONE
Ini diperuntukkan bagi pembeli dengan anggaran yang lebih besar .,,[],"[{'aspect': 'anggaran', 'opinion': 'lebih besar', 'sentiment': 'positive'}]","( anggaran, lebih besar, positive )"
"Buka aplikasi nya dan cari bagian Apple Special Event , dan bisa menonton acara secara streaming maupun dapat ditonton ulang .",,[],[],NONE
"Memang tidak salah , karena sebagaimana dilansir dari The Least and Most Stressful Cities Index 2021 yang rilis bulan ini , Jakarta menjadi salah satu kota dengan tingkat stres yang cukup tinggi .",,"[{'aspect': 'tingkat stres', 'opinion': 'cukup tinggi', 'sentiment': 'negative'}]","[{'aspect': 'tingkat stres', 'opinion': 'cukup tinggi', 'sentiment': 'negative'}]","( tingkat stres, cukup tinggi, negative )"
Saksi mata menyebut pria tersebut mengaku memiliki bom di dalam ransel .,,"[{'aspect': 'pria', 'opinion': 'memiliki bom', 'sentiment': 'negative'}]",[],NONE
"Rincian nya adalah CAT 5 seharga Rp 1,5 juta , CAT 4 seharga Rp 2,4 juta , CAT 3 Rp 3,4 juta , CAT 2 seharga Rp 4,4 juta , CAT 1 seharga Rp6 juta , HOLD ON VIP PACKAGE seharga Rp 5,25 juta , PEACHES VIP PACKAGE seharga Rp 6,25 juta , dan GHOST VIP PACKAGE seharga Rp 8.5 juta .",,[],[],NONE
Temuan aset tersebut didasarkan pada hasil analisis keuangan yang dilakukan oleh Pusat Pelaporan dan Analisis Transaksi Keuangan .,,[],[],NONE
Promotor kala itu juga memastikan Stadion Madya GBK bisa menampung hingga 20 ribu penggemar untuk menyaksikan konser Justin Bieber 2022 mendatang .,,[],[],NONE
"Sesi selanjutnya , dari kawasan Ciwidey - Pangalengan ( 22,12 km ) , lalu Pangalengan - Cikajang ( 53,48 km ) , disambung Cikajang - Bantarkalong ( 68,54 km ) , kemudian Bantarkalong - Kertahayu ( 101,48 km ) , hingga total sepanjang 245,62 km .",,[],[],NONE
Sehingga pencapaian net zero emission pada 2060 bisa terealisasi .,,[],"[{'aspect': 'pencapaian net zero emission', 'opinion': 'bisa terealisasi', 'sentiment': 'positive'}]","( pencapaian net zero emission, bisa terealisasi, positive )"
""" Komisi menganggap ada peran gas alam dan nuklir sebagai sarana untuk memfasilitasi transisi menuju masa depan berbasis energi terbarukan , "" kata pernyataan itu , yang dirilis pada hari Sabtu ( 1 / 1 / 2022 ) .",,"[{'aspect': 'gas alam dan nuklir', 'opinion': 'memfasilitasi transisi menuju masa depan berbasis energi terbarukan', 'sentiment': 'positive'}]",[],NONE
"Sehingga , penggemar diwajibkan menyimpan tiket mereka .",,[],[],NONE
"Prasidya Puspa membahas nya bersama Kuasa Usaha Ad Interim KBRI Seoul , Zelda Wulan Kartika . Sejumlah pembalap Moto3 Mandalika girang bermain dengan monyet saat menikmati ' liburan ' jelang beraksi di Sirkuit Mandalika akhir pekan ini , 18 - 20 Maret .",,"[{'aspect': 'pembalap Moto3 Mandalika', 'opinion': 'girang bermain', 'sentiment': 'positive'}]","[{'aspect': 'pembalap Moto3 Mandalika', 'opinion': 'girang bermain dengan monyet', 'sentiment': 'negative'}]","( pembalap Moto3 Mandalika, girang bermain dengan monyet, negative )"
[ Gambas :I nstagram ] Jadwal konser Justin Bieber di Jakarta ditambah menjadi dua hari .,,[],[],NONE
Kunjungan itu mendapatkan sorotan tajam lantaran dilakukan di tengah larangan Presiden Joko Widodo ( Jokowi ) bagi pejabat negara untuk pergi ke luar negeri .,,"[{'aspect': 'Kunjungan', 'opinion': 'mendapatkan sorotan tajam', 'sentiment': 'negative'}, {'aspect': 'Kunjungan', 'opinion': 'dilakukan di tengah larangan', 'sentiment': 'negative'}]","[{'aspect': 'Kunjungan', 'opinion': 'mendapatkan sorotan tajam', 'sentiment': 'negative'}]","( Kunjungan, mendapatkan sorotan tajam, negative )"
"Mereka menampilkan pesan "" Matilah Imperialis Amerika ! "" .",,"[{'aspect': 'pesan', 'opinion': 'Matilah', 'sentiment': 'negative'}]",[],NONE
"Dalam cuitan tersebut , 88rising juga mengunggah foto NIKI , Rich Brian , dan logo 88rising .",,[],[],NONE
"Menurut Firhan , Indonesia adalah pasar kedua paling penting wisata Singapura .",,[],"[{'aspect': 'Indonesia', 'opinion': 'pasar kedua paling penting wisata Singapura', 'sentiment': 'positive'}]","( Indonesia, pasar kedua paling penting wisata Singapura, positive )"
"Pertama , perlu dilakukan peningkatan investasi untuk memastikan suplai energi dapat terpenuhi .",,[],[],NONE
""" Anda berisiko terkena Covid , ke mana pun Anda pergi , selama sisa hidup Anda . Tapi sungguh , untuk sebagian besar orang , itu hanya penyakit yang sangat kecil , jika itu hanya gejala , "" ungkap Fisher .",,[],"[{'aspect': 'Covid', 'opinion': 'hanya gejala', 'sentiment': 'negative'}, {'aspect': 'Covid', 'opinion': 'hanya gejala', 'sentiment': 'negative'}]","( Covid, hanya gejala, negative ) ; ( Covid, hanya gejala, negative )"
"Tak hanya itu , musisi asal Indonesia Rich Brian juga turut menyaksikan konser konser Permission to Dance On Stage - LA .",,[],[],NONE
"Ini karena pengadilan menguatkan keputusan pemerintah untuk membatalkan visa Djokovic lantaran tidak divaksin . Jakarta , CNBC Indonesia - Penyanyi dan penulis lagu Adele baru-baru ini mengunggah video di Instagram yang menunjukkan diri nya berlinang air mata .",,[],"[{'aspect': 'visa Djokovic', 'opinion': 'tidak divaksin', 'sentiment': 'negative'}]","( visa Djokovic, tidak divaksin, negative )"
Pemerintah provinsi Jawa Barat sempat mengusulkan lima pembangunan .,,[],[],NONE
"Lantas , kapan dan pukul berapa race MotoGP Mandalika 2022 akan dimulai ?",,[],[],NONE
"Pekan ini , harga batu bara membukukan kenaikan 61,85 % secara point - to - point .",,"[{'aspect': 'harga batu bara', 'opinion': 'membukukan kenaikan', 'sentiment': 'negative'}]","[{'aspect': 'harga batu bara', 'opinion': 'membukukan kenaikan', 'sentiment': 'positive'}]","( harga batu bara, membukukan kenaikan, positive )"
"Konser ini tayang di stasiun televisi pemerintah pada Minggu ( 2 / 1 ) dan digunakan sebagai alat promosi patriotisme , kesetiaan , dan kemurnian ideologis di kalangan anak-anak .",,[],[],NONE
Penguatan indeks saham akan didorong oleh kenaikan harga komoditi .,,[],"[{'aspect': 'Penguatan indeks saham', 'opinion': 'akan didorong oleh kenaikan harga komoditi', 'sentiment': 'negative'}]","( Penguatan indeks saham, akan didorong oleh kenaikan harga komoditi, negative )"
"Jessica Chastain ( The Eyes of Tammy Faye ) - WINNER Olivia Colman ( The Lost Daughter ) Penelope Cruz ( Parallel Mothers ) Nicole Kidman ( Being the Ricardos ) Kristen Stewart ( Spencer ) Javier Bardem ( Being the Ricardos ) Benedict Cumberbatch ( The Power of the Dog ) Andrew Garfield ( tick , tick ...",,[],[],NONE
"Proyek strategis karena selain besar nya investasi yang dikeluarkan investor , proyek ini juga didominasi oleh produksi gas yang sangat bermanfaat untuk kebutuhan dalam negeri , bukan hanya untuk ekspor .",,"[{'aspect': 'produksi gas', 'opinion': 'sangat bermanfaat untuk kebutuhan dalam negeri', 'sentiment': 'positive'}]","[{'aspect': 'produksi gas', 'opinion': 'sangat bermanfaat untuk kebutuhan dalam negeri', 'sentiment': 'positive'}]","( produksi gas, sangat bermanfaat untuk kebutuhan dalam negeri, positive )"
Keputusan itu disampaikan Adele lewat unggahan di Instagram dengan berurai air mata pada Jumat ( 21 / 1 ) pagi waktu Indonesia .,,"[{'aspect': 'Adele', 'opinion': 'berurai air mata', 'sentiment': 'negative'}]",[],NONE
Ia beserta 34 Gubernur se-Indonesia Senin ( 14 / 3 ) menjalani ritual adat yang disebut Kendi Nusantara di titik nol kilometer IKN .,,[],[],NONE
Sejumlah Proyek Strategis Nasional ( PSN ) yang menjadi andalan Presiden Joko Widodo ( Jokowi ) pun merupakan penghasil gas alam .,,[],[],NONE
Ukuran Ponsel Kabar nya iPhone SE 3 akan memiliki ukuran yang tidak jauh dari pendahulu nya .,,[],[],NONE
"Namun , Jokowi berjanji akan mengubah aturan itu bulan depan .",,[],[],NONE
"Misalnya dari wilayah Lengkong ke Sagaranten , sekarang 99 Km , dengan JTS dibangun cukup 23 Km .",,"[{'aspect': 'JTS', 'opinion': 'cukup 23 Km', 'sentiment': 'positive'}]",[],NONE
""" Masih kami selidiki cuma kami mengejar aliran dana sampai ke sini nanti akan tahu siapa ini pemilik nya , "" jelas nya .",,[],[],NONE
"Juga impor bahan baku / penolong US$ 147.380,2 juta dan barang modal US$ 28.627,0 juta , yang masing-masing lebih tinggi dibandingkan periode Januari - Desember 2020 .",,"[{'aspect': 'impor bahan baku / penolong', 'opinion': 'lebih tinggi', 'sentiment': 'negative'}]",[],"( impor bahan baku / penolong US$ 147.380,2 juta, lebih tinggi, positive )"
"Menurut nya , salah satu agenda kunjungan kerja ke Kaltim adalah memastikan lahan bakal ibu kota baru berstatus tanah negara .",,[],[],NONE
Cocok sekali untuk para pasangan yang sedang menikmati momen bulan madu .,,[],"[{'aspect': 'momen bulan madu', 'opinion': 'Cocok sekali', 'sentiment': 'positive'}]","( momen bulan madu, Cocok sekali, positive )"
"Album versi pertama diisi Rich Brian , NIKI , Joji , Higher Brothers , Keith Ape , dan Sean Evans .",,[],[],NONE
"Berbeda dengan pembalap MotoGP yang sudah melakukan tes pramusim di Sirkuit Mandalika , ini adalah kali pertama bagi pembalap Moto2 dan Moto3 tiba di Lombok .",,[],[],NONE
""" KPBU kita hitung tapi bisa menjadi beban perhitungan juga , seperti masa jabatan kepala daerah , dengan legislatif , karena ini nggak mungkin rasanya kita selesaikan dua tahun ini , "" jelas nya .",,[],"[{'aspect': 'KPBU', 'opinion': 'beban perhitungan', 'sentiment': 'negative'}]","( KPBU, beban perhitungan, negative )"
"Namun begitu , ia berterima kasih pada penggemar yang terus mendukung dan mendoakan kesembuhan nya .",,"[{'aspect': 'penggemar', 'opinion': 'terus mendukung', 'sentiment': 'positive'}, {'aspect': 'penggemar', 'opinion': 'mendoakan kesembuhan', 'sentiment': 'positive'}]","[{'aspect': 'penggemar', 'opinion': 'terus mendukung', 'sentiment': 'positive'}, {'aspect': 'penggemar', 'opinion': 'mendoakan kesembuhan', 'sentiment': 'positive'}]","( penggemar, terus mendukung, positive ) ; ( penggemar, mendoakan kesembuhan, positive )"
"Alih-alih , Indonesia malah memilih menggunakan Liquefied Petroleum Gas ( LPG ) yang sumber nya didominasi dari luar negeri alias impor .",,"[{'aspect': 'Indonesia', 'opinion': 'memilih menggunakan Liquefied Petroleum Gas ( LPG )', 'sentiment': 'negative'}, {'aspect': 'sumber', 'opinion': 'didominasi dari luar negeri alias impor', 'sentiment': 'negative'}]","[{'aspect': 'Liquefied Petroleum Gas ( LPG )', 'opinion': 'lebih memilih', 'sentiment': 'positive'}]","( Liquefied Petroleum Gas ( LPG ), lebih memilih, positive )"
"Jumlah tersebut kemudian mengalami peningkatan dengan hingga 60,6 kargo pada 2019 .",,[],"[{'aspect': 'Jumlah tersebut', 'opinion': 'peningkatan', 'sentiment': 'positive'}]","( Jumlah tersebut, peningkatan, positive )"
"Dalam surat tersebut , objek wisata itu ditutup pada periode 1 - 3 Februari 2022 .",,[],[],NONE
Alhasil pelaku usaha pun bisa mengukur berapa besar investasi yang bakal keluar .,,"[{'aspect': 'pelaku usaha', 'opinion': 'bisa mengukur berapa besar investasi', 'sentiment': 'positive'}]",[],NONE
Pembangunan JTS diharapkan dapat memangkas waktu tempuh sekaligus mengembangkan potensi pariwisata Jabar bagian selatan .,,"[{'aspect': 'Pembangunan JTS', 'opinion': 'dapat memangkas waktu tempuh', 'sentiment': 'positive'}, {'aspect': 'Pembangunan JTS', 'opinion': 'mengembangkan potensi pariwisata', 'sentiment': 'positive'}]","[{'aspect': 'Pembangunan JTS', 'opinion': 'dapat memangkas waktu tempuh', 'sentiment': 'positive'}, {'aspect': 'Pembangunan JTS', 'opinion': 'mengembangkan potensi pariwisata Jabar bagian selatan', 'sentiment': 'positive'}]","( Pembangunan JTS, dapat memangkas waktu tempuh, positive ) ; ( Pembangunan JTS, mengembangkan potensi pariwisata Jabar bagian selatan, positive )"
"Ia bilang , Pemprov Jabar terus berupaya mengembangkan berbagai potensi daerah Jabar bagian selatan .",,"[{'aspect': 'Pemprov Jabar', 'opinion': 'terus berupaya mengembangkan berbagai potensi daerah Jabar bagian selatan', 'sentiment': 'positive'}]","[{'aspect': 'potensi daerah Jabar bagian selatan', 'opinion': 'terus berupaya mengembangkan', 'sentiment': 'positive'}]","( potensi daerah Jabar bagian selatan, terus berupaya mengembangkan, positive )"
"Jadwal MotoGP Indonesia : Pebalap Parade di Jakarta Sebelum Beraksi di Mandalika Sebagai informasi , Grand Prix Indonesia di Sirkuit Mandalika merupakan seri kedua dari kalender MotoGP musim ini .",,[],[],NONE
"Perwakilan West , yang merilis album terbaru artis itu , ' Donda ' , pada Juli 2021 , tidak segera membalas permintaan komentar dari Reuters .",,[],"[{'aspect': 'Donda', 'opinion': 'tidak segera membalas permintaan komentar', 'sentiment': 'negative'}]","( Donda , tidak segera membalas permintaan komentar, negative )"
Proyek ini masuk dalam Peraturan Presiden ( Perpres ) 87 / 2021 tentang Percepatan Pembangunan Kawasan Rebana dan Kawasan Jawa Barat Bagian Selata n yang diteken Presiden Jokowi 9 September 2021 .,,[],[],NONE
Kebijakan wilayah negara yang akan dikunjungi ; 4 .,,[],[],NONE
Korut disebut sering mengadakan konser anak-anak tahunan dalam rangka menyambut Tahun Baru .,,[],[],NONE
"Selain itu , konser ini juga menampilkan protokol pencegahan infeksi virus corona .",,[],[],NONE
Acara tersebut akan diadakan pada pukul 10:00 PT hari Selasa ( 8 / 2 / 2022 ) atau 01:00 WIB Rabu dini hari ( 9 / 2 / 2022 ) .,,[],[],NONE
"Dalam acara itu , Adele akan melakukan dua pertunjukan setiap akhir pekan hingga Sabtu , 16 April 2022 dengan total 12 minggu . Warner Music Group akan membuka ' tempat nongkrong ' di dunia game metaverse , The Sandbox , yang bisa digunakan untuk konser dan berbagai imajinasi musikal lain melibatkan artis kenamaan .",,[],[],NONE
