text,paradigm,task,target,incomplete_target
I charge it at night and skip taking the cord with me because of the good battery life .,imputation,aos,"[{'aspect': 'battery life', 'opinion': 'good', 'sentiment': 'positive'}]","[{'aspect': 'battery life', 'sentiment': 'positive'}]"
Great laptop that offers many great features !,extraction,ao,"[{'aspect': 'features', 'opinion': 'great'}]",None
Tes kocak kocak .,extraction,aos,"[{'aspect': 'Tes', 'opinion': 'kocak', 'sentiment': 'mixed'}]",None
"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",extraction,as,"[{'aspect': 'quality', 'sentiment': 'positive'}, {'aspect': 'GUI', 'sentiment': 'positive'}, {'aspect': 'applications', 'sentiment': 'positive'}, {'aspect': 'use', 'sentiment': 'positive'}]",None
I charge it at night and skip taking the cord with me because of the good battery life .,extraction,aos,"[{'aspect': 'battery life', 'opinion': 'good', 'sentiment': 'positive'}]",None
I charge it at night and skip taking the cord with me because of the good battery life .,extraction,as,"[{'aspect': 'battery life', 'sentiment': 'positive'}]",None
keep up the good work .,extraction,as,"[{'aspect': 'NULL', 'sentiment': 'positive'}]",None
Tes kocak kocak .,imputation,aos,"[{'aspect': 'Tes', 'opinion': 'kocak', 'sentiment': 'mixed'}]","[{'aspect': 'Tes', 'sentiment': 'mixed'}]"
Tes kocak kocak .,extraction,as,"[{'aspect': 'Tes', 'sentiment': 'mixed'}]",None
Easy to start up and does not overheat as much as other laptops .,imputation,aos,"[{'aspect': 'start up', 'opinion': 'Easy', 'sentiment': 'positive'}]","[{'aspect': 'start up', 'sentiment': 'positive'}]"
Tes ( dua ) .,imputation,aos,"[{'aspect': 'Tes', 'opinion': '( dua )', 'sentiment': 'positive'}]","[{'aspect': 'Tes', 'sentiment': 'positive'}]"
keep up the good work .,imputation,aos,"[{'aspect': 'NULL', 'opinion': 'good', 'sentiment': 'positive'}]","[{'aspect': 'NULL', 'opinion': 'good'}]"
"One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .",imputation,aos,"[{'aspect': 'GUI', 'opinion': 'no', 'sentiment': 'negative'}, {'aspect': 'screen', 'opinion': 'dark', 'sentiment': 'negative'}, {'aspect': 'power light', 'opinion': 'steady', 'sentiment': 'neutral'}, {'aspect': 'hard drive light', 'opinion': 'steady', 'sentiment': 'negative'}]","[{'aspect': 'GUI', 'opinion': 'no'}, {'aspect': 'screen', 'opinion': 'dark'}, {'aspect': 'power light', 'opinion': 'steady'}, {'aspect': 'hard drive light', 'opinion': 'steady'}]"
Easy to start up and does not overheat as much as other laptops .,extraction,as,"[{'aspect': 'start up', 'sentiment': 'positive'}]",None
Halo .,extraction,aos,[],None
