input,output,se_order,paradigm
"i ' ve been to sapphire twice and both times the food was fine , if not good .","( food , food quality , fine , positive )",acos,extraction
"Be sure to try the seasonal , and always delicious , specials .","( specials , food quality , try , positive ) ; ( specials , food quality , seasonal , positive ) ; ( specials , food quality , delicious , positive )",acos,extraction
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,"( Grilled Chicken special with Edamame Puree , food quality , enjoyed , positive )",acos,extraction
This place is the most Japanese it can ever get .,"( place , restaurant miscellaneous , Japanese , positive )",acos,extraction
"Inside is a little cramped , but to be expected .","( NULL , ambience general , to be expected , neutral )",acos,extraction
"I attended a holiday dinner at the restaurant , and the food was majorly disappointing .","( food , food quality , disappointing , negative )",acos,extraction
I will be out with friends and all of a sudden I am hungry and I only crave one thing . . . their Pizza .,"( Pizza , food quality , crave , positive )",acos,extraction
Great neighborhood joint .,"( joint , restaurant general , Great , positive )",acos,extraction
I ' m partial to the Gnocchi .,"( Gnocchi , restaurant general , partial , positive )",acos,extraction
I had a grat time at Jekyll and Hyde !,"( Jekyll and Hyde , restaurant general , had a grat time , positive )",acos,extraction
Just go to Yamato and order the Red Dragon Roll .,"( Yamato , restaurant general , Just go , positive )",acos,extraction
The price very reasonable .,"( NULL , restaurant prices , reasonable , positive )",acos,extraction
The counter service is bad .,"( counter service , service general , bad , negative )",acos,extraction
"Excellent food , although the interior could use some help .","( food , food quality , Excellent , positive ) ; ( interior , ambience general , help , negative )",acos,extraction
"This place is really trendi but they have forgotten about the most important part of a restaurant , the food .","( food , food quality , forgotten , negative ) ; ( place , ambience general , trendi , positive )",acos,extraction
Decor is charming .,"( Decor , ambience general , charming , positive )",acos,extraction
"quacamole at pacifico is yummy , as are the wings with chimmichuri .","( quacamole , food quality , yummy , positive ) ; ( wings with chimmichuri , food quality , yummy , positive )",acos,extraction
"The dosas are skimpy , unattractive and drip with grease , and personally I ' d drink popcorn topping before I ' d eat another one of these .","( dosas , food style_options , skimpy , negative ) ; ( dosas , food quality , unattractive , negative )",acos,extraction
"The atmosphere was pretty nice but had a bit lacking , which it tries to make up for with a crazy scheme of mirrors .","( atmosphere , ambience general , nice , negative ) ; ( scheme of mirrors , ambience general , crazy , negative )",acos,extraction
"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !","( oyster binge , restaurant general , great , positive )",acos,extraction
the last time i walked by it looked pretty empty . hmmm .,"( NULL , restaurant miscellaneous , empty , negative )",acos,extraction
Never have I had such dramatic delivery guys ( a lot of huffing and panting and muttering under breath b / c I live in a walkup ) who always seem disappointed with their tips .,"( delivery guys , service general , dramatic , negative )",acos,extraction
"While it is understandable that every place is indeed different , there was not a need to be uncourteous to customers and downright rude .","( NULL , service general , rude , negative )",acos,extraction
"Excellent dumplings served amid clean , chic decor .","( dumplings , food quality , Excellent , positive ) ; ( decor , ambience general , clean , positive ) ; ( decor , ambience general , chic , positive )",acos,extraction
"If you go , try the marinara / arrabiatta sauce , the mozzarella en Carozza is mmmmmmmm . . . . . everything is just delicious .","( marinara / arrabiatta sauce , food quality , try , positive ) ; ( marinara / arrabiatta sauce , food quality , delicious , positive ) ; ( mozzarella en Carozza , food quality , delicious , positive ) ; ( NULL , food quality , delicious , positive )",acos,extraction
We paid a fixed pricce but got nothing ! !,"( NULL , service general , got nothing , negative )",acos,extraction
Amma is nothing special .,"( Amma , restaurant general , nothing special , neutral )",acos,extraction
"All the various Greek and Cypriot dishes are excellent , but the gyro is the reason to come - - if you do n ' t eat one your trip was wasted .","( Greek and Cypriot dishes , food quality , excellent , positive ) ; ( gyro , food quality , the reason to come , positive )",acos,extraction
"The place is a bit hidden away , but once you get there , it ' s all worth it .","( place , location general , hidden away , neutral ) ; ( place , restaurant general , worth , positive )",acos,extraction
The best !,"( NULL , restaurant general , best , positive )",acos,extraction
"If we were to move from the upper east side , we would genuinely miss this restaurant .","( restaurant , restaurant general , miss , positive )",acos,extraction
SO GOOD,"( NULL , restaurant general , GOOD , positive )",acos,extraction
"It doesn ' t look appetizing as it ' s covered in squid ink and it turns your lips and teeth black , but the taste was phenomenal .","( NULL , food style_options , doesn ' t look appetizing , negative ) ; ( NULL , food quality , phenomenal , positive )",acos,extraction
The only problem is that the manager is a complete incompetent .,"( manager , service general , incompetent , negative )",acos,extraction
Make sure you have the Spicy Scallop roll . . .,"( Spicy Scallop roll , food quality , Make sure , positive )",acos,extraction
"After dinner the manager grabbed my boyfriend , asked him : Where are you from . . . maybe you dont know how things work in America . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .","( manager , service general , yelling , negative )",acos,extraction
Prices are fair across the board for both food and bev .,"( food , food prices , fair , positive ) ; ( bev , drinks prices , fair , positive )",acos,extraction
This is a wonderful place on all stand points especially value ofr money .,"( place , restaurant prices , wonderful , positive ) ; ( place , restaurant general , wonderful , positive )",acos,extraction
you know what i mean all the positives things happening there made mw write this review .,"( NULL , restaurant general , positives , positive )",acos,extraction
We will return many times for this oasis in mid - town .,"( NULL , restaurant general , return , positive )",acos,extraction
I recommend it !,"( NULL , restaurant general , recommend , positive )",acos,extraction
A beautifully designed dreamy Egyptian restaurant that gets sceney at night .,"( Egyptian restaurant , ambience general , dreamy , positive )",acos,extraction
This is the perfect date spot for Williamsburg couples .,"( NULL , restaurant miscellaneous , perfect , positive )",acos,extraction
Indoor was very cozy and cute .,"( Indoor , ambience general , cozy , positive ) ; ( Indoor , ambience general , cute , positive )",acos,extraction
As always we had a great glass of wine while we waited .,"( glass of wine , drinks quality , great , positive )",acos,extraction
I recently went to this restaurant with some co - workers for lunch and had an amazing time .,"( restaurant , restaurant general , amazing time , positive )",acos,extraction
We did n ' t want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough .,"( bottles of Korbett , drinks style_options , enough , positive )",acos,extraction
"It ' s boring on the inside , and our sushi was pretty below average . . . the tuna was soggy and the other rolls had no flavor .","( NULL , ambience general , boring , negative ) ; ( sushi , food quality , below average , negative ) ; ( tuna , food quality , soggy , negative ) ; ( rolls , food quality , no flavor , negative )",acos,extraction
"Reliable , Fresh Sushi","( Sushi , food quality , Reliable , positive )",acos,extraction
My daughter ' s wedding reception at Water ' s Edge received the highest compliments from our guests .,"( Water ' s Edge , restaurant miscellaneous , highest compliments , positive )",acos,extraction
"Also , I personally was n ' t a fan of the portobello and asparagus mole .","( portobello and asparagus mole , food quality , fan , negative )",acos,extraction
If you want good authentic Thai this place is not the place to go .,"( Thai , food quality , good authentic , negative )",acos,extraction
The pizza is yummy and I like the atmoshpere .,"( pizza , food quality , yummy , positive ) ; ( atmoshpere , ambience general , like , positive )",acos,extraction
This is by far my favorite place in the neighborhood .,"( place , restaurant general , favorite , positive )",acos,extraction
The service was friendly and the atmosphere was casual .,"( service , service general , friendly , positive ) ; ( atmosphere , ambience general , casual , neutral )",acos,extraction
"for 7 years they have put out the most tasty , most delicious food and kept it that way . . .","( food , food quality , tasty , positive )",acos,extraction
"The waitress , seems to be more concerned of looking good than actually waitressing .","( waitress , service general , more concerned of looking good , negative )",acos,extraction
I will go back to Suan soon !,"( Suan , restaurant general , go back , positive )",acos,extraction
I ' d be horrified if my staff were turning away customers so early and so rudely !,"( staff , service general , horrified , negative )",acos,extraction
"Always a nice crowd , but never loud .","( crowd , restaurant miscellaneous , nice , positive ) ; ( NULL , ambience general , never loud , positive )",acos,extraction
The lunch buffet is expensive but is deff worth it .,"( lunch buffet , food prices , expensive , negative ) ; ( lunch buffet , food quality , worth , positive )",acos,extraction
"The service was impeccable and unobtrusive - - the staff knows what they are there to do - - to know their menu , present your meal , and attend to your needs .","( service , service general , impeccable , positive ) ; ( service , service general , unobtrusive , positive )",acos,extraction
