text,prompt,target,raw_prediction,editdistance_prediction,cut_predictions,remove_predictions,string_preds
"While the smoothies are a little big for me , the fresh juices are the best I have ever had !",extract aope duplet :,"[{'aspect': 'smoothies', 'opinion': 'big'}, {'aspect': 'fresh juices', 'opinion': 'best'}]","[{'aspect': 'smoothies', 'opinion': 'big'}, {'aspect': 'fresh juices', 'opinion': 'best'}]","[{'aspect': 'smoothies', 'opinion': 'big'}, {'aspect': 'fresh juices', 'opinion': 'best'}]","[{'aspect': 'smoothies', 'opinion': 'big'}, {'aspect': 'fresh juices', 'opinion': 'best'}]","[{'aspect': 'smoothies', 'opinion': 'big'}, {'aspect': 'fresh juices', 'opinion': 'best'}]","( smoothies, big ) ; ( fresh juices, best )"
We ended up having to just leave because we were essentially being ignored by the wait staff -- even though the rest of the restaurant was largely empty .,extract aste triplet :,"[{'aspect': 'wait staff', 'opinion': 'ignored', 'sentiment': 'negative'}]","[{'aspect': 'wait staff', 'opinion': 'ignored', 'sentiment': 'negative'}]","[{'aspect': 'wait staff', 'opinion': 'ignored', 'sentiment': 'negative'}]","[{'aspect': 'wait staff', 'opinion': 'ignored', 'sentiment': 'negative'}]","[{'aspect': 'wait staff', 'opinion': 'ignored', 'sentiment': 'negative'}]","( wait staff, ignored, negative )"
"Service is excellent , no wait , and you get a lot for the price .",extract uabsa duplet :,"[{'aspect': 'Service', 'sentiment': 'positive'}, {'aspect': 'wait', 'sentiment': 'positive'}]","[{'aspect': 'wait', 'sentiment': 'positive'}, {'aspect': 'price', 'sentiment': 'positive'}, {'aspect': 'Service', 'sentiment': 'positive'}]","[{'aspect': 'wait', 'sentiment': 'positive'}, {'aspect': 'price', 'sentiment': 'positive'}, {'aspect': 'Service', 'sentiment': 'positive'}]","[{'aspect': 'wait', 'sentiment': 'positive'}, {'aspect': 'price', 'sentiment': 'positive'}, {'aspect': 'Service', 'sentiment': 'positive'}]","[{'aspect': 'wait', 'sentiment': 'positive'}, {'aspect': 'price', 'sentiment': 'positive'}, {'aspect': 'Service', 'sentiment': 'positive'}]","( Service, positive ) ; ( wait, positive ) ; ( price, positive )"
The folding chair I was seated at was uncomfortable .,extract opinion :,[{'opinion': 'uncomfortable'}],[{'opinion': 'uncomfortable'}],[{'opinion': 'uncomfortable'}],[{'opinion': 'uncomfortable'}],[{'opinion': 'uncomfortable'}],( uncomfortable )
jazz singer had a nice voice + she made us all get up to dance to shake some cals to eat some more .,extract aope duplet :,"[{'aspect': 'jazz singer', 'opinion': 'nice'}]","[{'aspect': 'jazz singer', 'opinion': 'nice'}]","[{'aspect': 'jazz singer', 'opinion': 'nice'}]","[{'aspect': 'jazz singer', 'opinion': 'nice'}]","[{'aspect': 'jazz singer', 'opinion': 'nice'}]","( jazz singer, nice )"
"It was such a fantastic dining experience , that I returned again the same week .",extract aope duplet :,"[{'aspect': 'dining experience', 'opinion': 'fantastic'}]","[{'aspect': 'dining experience', 'opinion': 'fantastic'}]","[{'aspect': 'dining experience', 'opinion': 'fantastic'}]","[{'aspect': 'dining experience', 'opinion': 'fantastic'}]","[{'aspect': 'dining experience', 'opinion': 'fantastic'}]","( dining experience, fantastic )"
Service was among the best I have ever had in NYC .,extract aspect :,[{'aspect': 'Service'}],[{'aspect': 'Service'}],[{'aspect': 'Service'}],[{'aspect': 'Service'}],[{'aspect': 'Service'}],( Service )
Sushi so fresh that it crunches in your mouth .,extract opinion :,[{'opinion': 'fresh'}],[{'opinion': 'fresh'}],[{'opinion': 'fresh'}],[{'opinion': 'fresh'}],[{'opinion': 'fresh'}],( fresh )
"My gf 's duck confitte was very solid as well , although i have little base of reference .",extract opinion :,[{'opinion': 'solid'}],[{'opinion': 'solid'}],[{'opinion': 'solid'}],[{'opinion': 'solid'}],[{'opinion': 'solid'}],( solid )
"We recently spent New Year 's Eve at the restaurant , and had a great experience , from the wine to the dessert menu .",extract aste triplet :,"[{'aspect': 'wine', 'opinion': 'great', 'sentiment': 'positive'}, {'aspect': 'dessert menu', 'opinion': 'great', 'sentiment': 'positive'}]","[{'aspect': 'dessert menu', 'opinion': 'great', 'sentiment': 'positive'}, {'aspect': 'wine', 'opinion': 'great', 'sentiment': 'positive'}]","[{'aspect': 'dessert menu', 'opinion': 'great', 'sentiment': 'positive'}, {'aspect': 'wine', 'opinion': 'great', 'sentiment': 'positive'}]","[{'aspect': 'dessert menu', 'opinion': 'great', 'sentiment': 'positive'}, {'aspect': 'wine', 'opinion': 'great', 'sentiment': 'positive'}]","[{'aspect': 'dessert menu', 'opinion': 'great', 'sentiment': 'positive'}, {'aspect': 'wine', 'opinion': 'great', 'sentiment': 'positive'}]","( wine, great, positive ) ; ( dessert menu, great, positive )"
the food is delicious and highly recommended .,extract aope duplet :,"[{'aspect': 'food', 'opinion': 'delicious'}, {'aspect': 'food', 'opinion': 'recommended'}]","[{'aspect': 'food', 'opinion': 'recommended'}, {'aspect': 'food', 'opinion': 'delicious'}]","[{'aspect': 'food', 'opinion': 'recommended'}, {'aspect': 'food', 'opinion': 'delicious'}]","[{'aspect': 'food', 'opinion': 'recommended'}, {'aspect': 'food', 'opinion': 'delicious'}]","[{'aspect': 'food', 'opinion': 'recommended'}, {'aspect': 'food', 'opinion': 'delicious'}]","( food, delicious ) ; ( food, recommended )"
the service is prompt friendly .,extract aspect :,[{'aspect': 'service'}],[{'aspect': 'service'}],[{'aspect': 'service'}],[{'aspect': 'service'}],[{'aspect': 'service'}],( service )
This is literally a hot spot when it comes to the food .,extract opinion :,[{'opinion': 'hot spot'}],[{'opinion': 'hot'}],[{'opinion': 'hot'}],[{'opinion': 'hot'}],[{'opinion': 'hot'}],( hot )
The portions are very large and the service is fantastic ! !,extract aste triplet :,"[{'aspect': 'portions', 'opinion': 'large', 'sentiment': 'positive'}, {'aspect': 'service', 'opinion': 'fantastic', 'sentiment': 'positive'}]","[{'aspect': 'portions', 'opinion': 'large', 'sentiment': 'positive'}, {'aspect': 'service', 'opinion': 'fantastic', 'sentiment': 'positive'}]","[{'aspect': 'portions', 'opinion': 'large', 'sentiment': 'positive'}, {'aspect': 'service', 'opinion': 'fantastic', 'sentiment': 'positive'}]","[{'aspect': 'portions', 'opinion': 'large', 'sentiment': 'positive'}, {'aspect': 'service', 'opinion': 'fantastic', 'sentiment': 'positive'}]","[{'aspect': 'portions', 'opinion': 'large', 'sentiment': 'positive'}, {'aspect': 'service', 'opinion': 'fantastic', 'sentiment': 'positive'}]","( portions, large, positive ) ; ( service, fantastic, positive )"
Both a number of the appetizer and pasta specials were amazing .,extract aope duplet :,"[{'aspect': 'pasta specials', 'opinion': 'amazing'}, {'aspect': 'appetizer', 'opinion': 'amazing'}]","[{'aspect': 'appetizer', 'opinion': 'amazing'}, {'aspect': 'pasta specials', 'opinion': 'amazing'}]","[{'aspect': 'appetizer', 'opinion': 'amazing'}, {'aspect': 'pasta specials', 'opinion': 'amazing'}]","[{'aspect': 'appetizer', 'opinion': 'amazing'}, {'aspect': 'pasta specials', 'opinion': 'amazing'}]","[{'aspect': 'appetizer', 'opinion': 'amazing'}, {'aspect': 'pasta specials', 'opinion': 'amazing'}]","( appetizer, amazing ) ; ( pasta specials, amazing )"
I would definitely go back -- if only for some of those exotic martinis on the blackboard .,extract aste triplet :,"[{'aspect': 'martinis', 'opinion': 'exotic', 'sentiment': 'positive'}]","[{'aspect': 'martinis', 'opinion': 'exotic', 'sentiment': 'positive'}]","[{'aspect': 'martinis', 'opinion': 'exotic', 'sentiment': 'positive'}]","[{'aspect': 'martinis', 'opinion': 'exotic', 'sentiment': 'positive'}]","[{'aspect': 'martinis', 'opinion': 'exotic', 'sentiment': 'positive'}]","( martinis, exotic, positive )"
"Result ( red velvet ) : Great texture , soft and velvety , nice hint of cocoa .",extract aspect :,"[{'aspect': 'texture'}, {'aspect': 'hint of cocoa'}]","[{'aspect': 'red velvet'}, {'aspect': 'cocoa'}, {'aspect': 'texture'}]","[{'aspect': 'red velvet'}, {'aspect': 'cocoa'}, {'aspect': 'texture'}]","[{'aspect': 'red velvet'}, {'aspect': 'cocoa'}, {'aspect': 'texture'}]","[{'aspect': 'red velvet'}, {'aspect': 'cocoa'}, {'aspect': 'texture'}]",( texture ) ; ( red velvet ) ; ( cocoa )
"The food did take a few extra minutes to come , but the cute waiters ' jokes and friendliness made up for it .",extract aspect :,[{'aspect': 'waiters'}],"[{'aspect': 'waiters'}, {'aspect': 'friendliness'}]","[{'aspect': 'waiters'}, {'aspect': 'friendliness'}]","[{'aspect': 'waiters'}, {'aspect': 'friendliness'}]","[{'aspect': 'waiters'}, {'aspect': 'friendliness'}]",( waiters ) ; ( friendliness )
"The food is great ( big selection , reasonable prices ) and the drinks are really good .",extract aspect :,"[{'aspect': 'food'}, {'aspect': 'selection'}, {'aspect': 'prices'}, {'aspect': 'drinks'}]","[{'aspect': 'food'}, {'aspect': 'prices'}, {'aspect': 'selection'}, {'aspect': 'drinks'}]","[{'aspect': 'food'}, {'aspect': 'prices'}, {'aspect': 'selection'}, {'aspect': 'drinks'}]","[{'aspect': 'food'}, {'aspect': 'prices'}, {'aspect': 'selection'}, {'aspect': 'drinks'}]","[{'aspect': 'food'}, {'aspect': 'prices'}, {'aspect': 'selection'}, {'aspect': 'drinks'}]",( food ) ; ( selection ) ; ( prices ) ; ( drinks )
"Chef Vincenzo , always there if you need him , is a real talent and a real Roman .",extract aope duplet :,"[{'aspect': 'Chef', 'opinion': 'talent'}]","[{'aspect': 'Chef Vincenzo', 'opinion': 'real'}]","[{'aspect': 'Chef Vincenzo', 'opinion': 'real'}]","[{'aspect': 'Chef Vincenzo', 'opinion': 'real'}]","[{'aspect': 'Chef Vincenzo', 'opinion': 'real'}]","( Chef Vincenzo, real )"
