input,output,se_order,paradigm
"The service was extremely fast and attentive ( thanks to the service button on your table ) but I barely understood 1 word when the waiter took our order .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> fast <extra_id_1> service <extra_id_2> positive <extra_id_3> service general ; <extra_id_4> attentive <extra_id_5> service <extra_id_6> positive <extra_id_7> service general ; <extra_id_8> thanks to <extra_id_9> service button <extra_id_10> positive <extra_id_11> service general ; <extra_id_12> barely understood <extra_id_13> waiter <extra_id_14> negative <extra_id_15> service general,oasc,extraction
"It was well worth the wait .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> worth <extra_id_1> NULL <extra_id_2> positive <extra_id_3> restaurant general,oasc,extraction
I CAN EAT HERE EVERY DAY OF THE WEEK REALLY LOL LOVE THIS PLACE . . . )| category : <extra_id_0>,<extra_id_0> restaurant general,c,extraction
"Average to good Thai food , but terrible delivery .| category : <extra_id_0>",<extra_id_0> food quality ; <extra_id_1> service general,c,extraction
"A different server enhanced the fun , dumping our entrees in front of us halfway through our appetizer ( which was delicious ) .| aspect : <extra_id_0>",<extra_id_0> server ; <extra_id_1> appetizer,a,extraction
"You can not go wrong at the Red Eye Grill .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> can not go wrong <extra_id_1> Red Eye Grill <extra_id_2> positive <extra_id_3> restaurant general,oasc,extraction
Nice Family owned traditional restaurant .| opinion : <extra_id_0>,<extra_id_0> traditional,o,extraction
You should pass on the calamari .| aspect : <extra_id_0>,<extra_id_0> calamari,a,extraction
This is by far my favorite place in the neighborhood .| opinion : <extra_id_0>,<extra_id_0> favorite,o,extraction
I ' ve never had bad service and the fish is fresh and delicious .| category : <extra_id_0>,<extra_id_0> service general ; <extra_id_1> food quality ; <extra_id_2> food quality,c,extraction
"so delicious ! ! ! ! ! !| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> delicious <extra_id_1> NULL <extra_id_2> positive <extra_id_3> food quality,oasc,extraction
I heard the lobster roll was excellent .| aspect : <extra_id_0>,<extra_id_0> lobster roll,a,extraction
"The wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she ' s - way - cuter - than - me - that - b @ # $ * way ) .| category : <extra_id_0>",<extra_id_0> service general ; <extra_id_1> service general ; <extra_id_2> service general,c,extraction
The food was absolutely amazing ! !| aspect : <extra_id_0>,<extra_id_0> food,a,extraction
"Once you step into Cosette , you ' re miraculously in a small , off - the - beaten path Parisian bistro .| aspect : <extra_id_0>",<extra_id_0> Cosette,a,extraction
JUST AWSOME .| opinion : <extra_id_0>,<extra_id_0> AWSOME,o,extraction
"the last time i walked by it looked pretty empty . hmmm .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> empty <extra_id_1> NULL <extra_id_2> negative <extra_id_3> restaurant miscellaneous,oasc,extraction
"We all felt it was worth it .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> worth <extra_id_1> NULL <extra_id_2> positive <extra_id_3> restaurant general,oasc,extraction
"great for a romantic evening , or a fun evening with friends . . .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> romantic <extra_id_1> NULL <extra_id_2> positive <extra_id_3> ambience general ; <extra_id_4> fun <extra_id_5> NULL <extra_id_6> positive <extra_id_7> restaurant miscellaneous,oasc,extraction
"The service was attentive , yet discreet .| category : <extra_id_0>",<extra_id_0> service general ; <extra_id_1> service general,c,extraction
highly recommended .| aspect : <extra_id_0>,<extra_id_0> NULL,a,extraction
"Maybe it was the great company ( I had friends visiting from Philly – yes , it was not a date this time ) or the super reasonable price point , but I just can ’ t say enough good things about this brasserie .| aspect : <extra_id_0>",<extra_id_0> brasserie ; <extra_id_1> brasserie,a,extraction
Go hungry and enjoy .| opinion : <extra_id_0>,<extra_id_0> enjoy,o,extraction
Try sushimi cucumber roll .| opinion : <extra_id_0>,<extra_id_0> Try,o,extraction
"Overall , not worth the money .| category : <extra_id_0>",<extra_id_0> restaurant prices,c,extraction
"I ' m still mad that i had to pay for lousy food .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> lousy <extra_id_1> food <extra_id_2> negative <extra_id_3> food quality,oasc,extraction
"Once you step into Cosette , you ' re miraculously in a small , off - the - beaten path Parisian bistro .| opinion : <extra_id_0>",<extra_id_0> off - the - beaten,o,extraction
"My friend got the mushroom pizza which tasted better .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> better <extra_id_1> mushroom pizza <extra_id_2> positive <extra_id_3> food quality,oasc,extraction
I ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much . . . and we ' re repeat customers .| opinion : <extra_id_0>,<extra_id_0> enjoy,o,extraction
"The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> worth <extra_id_1> Prix Fixe menu <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> worth <extra_id_5> Prix Fixe menu <extra_id_6> positive <extra_id_7> food style_options ; <extra_id_8> worth <extra_id_9> Prix Fixe menu <extra_id_10> positive <extra_id_11> food prices,oasc,extraction
You can not go wrong at the Red Eye Grill .| aspect : <extra_id_0>,<extra_id_0> Red Eye Grill,a,extraction
I had the best ravioli ever .| aspect : <extra_id_0>,<extra_id_0> ravioli,a,extraction
We ended our great experience by having Gulab Jamun ( dessert ) recommended by the waiter .| aspect : <extra_id_0>,<extra_id_0> Gulab Jamun ( dessert ),a,extraction
The food now is inconsistent .| aspect : <extra_id_0>,<extra_id_0> food,a,extraction
"limited menu , no - so - fresh ingredients , thinly - sliced fish , fall - apart rice .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> limited <extra_id_1> menu <extra_id_2> negative <extra_id_3> food style_options ; <extra_id_4> no - so - fresh <extra_id_5> ingredients <extra_id_6> negative <extra_id_7> food quality ; <extra_id_8> thinly - sliced <extra_id_9> fish <extra_id_10> negative <extra_id_11> food style_options ; <extra_id_12> fall - apart <extra_id_13> rice <extra_id_14> negative <extra_id_15> food style_options,oasc,extraction
Great bagels made the old - fashioned way .| aspect : <extra_id_0>,<extra_id_0> bagels ; <extra_id_1> bagels,a,extraction
"Food is great .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> great <extra_id_1> Food <extra_id_2> positive <extra_id_3> food quality,oasc,extraction
The food was absolutely amazing ! !| opinion : <extra_id_0>,<extra_id_0> amazing,o,extraction
I also recommend the rice dishes or the different varieties of congee ( rice porridge ) .| opinion : <extra_id_0>,<extra_id_0> recommend ; <extra_id_1> recommend,o,extraction
