input,output,se_order,paradigm
"The place was nice and calm .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> nice <extra_id_1> place ; <extra_id_2> calm <extra_id_3> place,oa,extraction
"By the time we finished our dinner we still had not received one beverage NOR hooka !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative,as,extraction
"Other guests enjoyed pizza , santa fe chopped salad and fish and chips .| aspect : <extra_id_0>",<extra_id_0> pizza ; <extra_id_1> santa fe chopped salad ; <extra_id_2> fish and chips,a,extraction
We will definitely go back .| aspect : <extra_id_0>,<extra_id_0> NULL,a,extraction
"In an area sadly lacking in decent Thai food , this is one of the best spots .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> decent <extra_id_1> Thai food,oa,extraction
"Not only is the cuisine the best around , the service has always been attentive and charming .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> best <extra_id_1> cuisine <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> attentive <extra_id_5> service <extra_id_6> positive <extra_id_7> service general ; <extra_id_8> charming <extra_id_9> service <extra_id_10> positive <extra_id_11> service general,oasc,extraction
"Food is great .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Food <extra_id_1> positive,as,extraction
This is my first time writing a review for a restaurant because the food and service was excellent .| opinion : <extra_id_0>,<extra_id_0> excellent ; <extra_id_1> excellent,o,extraction
The exotic food is beautifully presented and is a delight in delicious combinations .| category : <extra_id_0>,<extra_id_0> food style_options ; <extra_id_1> food quality,c,extraction
The hostess and the waitress were incredibly rude and did everything they could to rush us out .| category : <extra_id_0>,<extra_id_0> service general ; <extra_id_1> service general,c,extraction
Overall I would recommend it and go back again .| opinion : <extra_id_0>,<extra_id_0> recommend,o,extraction
