input,output,se_order,paradigm
"i ' ve been to sapphire twice and both times the food was fine , if not good .","11,11,food quality,13,13,POS",acos,extraction
"Be sure to try the seasonal , and always delicious , specials .","11,11,food quality,3,3,POS,11,11,food quality,5,5,POS,11,11,food quality,9,9,POS",acos,extraction
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,"8,13,food quality,5,5,POS",acos,extraction
This place is the most Japanese it can ever get .,"1,1,restaurant miscellaneous,5,5,POS",acos,extraction
"Inside is a little cramped , but to be expected .","-1,-1,ambience general,7,9,NEU",acos,extraction
"I attended a holiday dinner at the restaurant , and the food was majorly disappointing .","11,11,food quality,14,14,NEG",acos,extraction
I will be out with friends and all of a sudden I am hungry and I only crave one thing . . . their Pizza .,"24,24,food quality,17,17,POS",acos,extraction
Great neighborhood joint .,"2,2,restaurant general,0,0,POS",acos,extraction
I ' m partial to the Gnocchi .,"6,6,restaurant general,3,3,POS",acos,extraction
I had a grat time at Jekyll and Hyde !,"6,8,restaurant general,1,4,POS",acos,extraction
Just go to Yamato and order the Red Dragon Roll .,"3,3,restaurant general,0,1,POS",acos,extraction
The price very reasonable .,"-1,-1,restaurant prices,3,3,POS",acos,extraction
The counter service is bad .,"1,2,service general,4,4,NEG",acos,extraction
"Excellent food , although the interior could use some help .","1,1,food quality,0,0,POS,5,5,ambience general,9,9,NEG",acos,extraction
"This place is really trendi but they have forgotten about the most important part of a restaurant , the food .","19,19,food quality,8,8,NEG,1,1,ambience general,4,4,POS",acos,extraction
Decor is charming .,"0,0,ambience general,2,2,POS",acos,extraction
"quacamole at pacifico is yummy , as are the wings with chimmichuri .","0,0,food quality,4,4,POS,9,11,food quality,4,4,POS",acos,extraction
"The dosas are skimpy , unattractive and drip with grease , and personally I ' d drink popcorn topping before I ' d eat another one of these .","1,1,food style_options,3,3,NEG,1,1,food quality,5,5,NEG",acos,extraction
"The atmosphere was pretty nice but had a bit lacking , which it tries to make up for with a crazy scheme of mirrors .","1,1,ambience general,4,4,NEG,21,23,ambience general,20,20,NEG",acos,extraction
"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !","5,6,restaurant general,33,33,POS",acos,extraction
the last time i walked by it looked pretty empty . hmmm .,"-1,-1,restaurant miscellaneous,9,9,NEG",acos,extraction
Never have I had such dramatic delivery guys ( a lot of huffing and panting and muttering under breath b / c I live in a walkup ) who always seem disappointed with their tips .,"6,7,service general,5,5,NEG",acos,extraction
"While it is understandable that every place is indeed different , there was not a need to be uncourteous to customers and downright rude .","-1,-1,service general,23,23,NEG",acos,extraction
"Excellent dumplings served amid clean , chic decor .","1,1,food quality,0,0,POS,7,7,ambience general,4,4,POS,7,7,ambience general,6,6,POS",acos,extraction
"If you go , try the marinara / arrabiatta sauce , the mozzarella en Carozza is mmmmmmmm . . . . . everything is just delicious .","6,9,food quality,4,4,POS,6,9,food quality,25,25,POS,12,14,food quality,25,25,POS,-1,-1,food quality,25,25,POS",acos,extraction
We paid a fixed pricce but got nothing ! !,"-1,-1,service general,6,7,NEG",acos,extraction
Amma is nothing special .,"0,0,restaurant general,2,3,NEU",acos,extraction
"All the various Greek and Cypriot dishes are excellent , but the gyro is the reason to come - - if you do n ' t eat one your trip was wasted .","3,6,food quality,8,8,POS,12,12,food quality,14,17,POS",acos,extraction
"The place is a bit hidden away , but once you get there , it ' s all worth it .","1,1,location general,5,6,NEU,1,1,restaurant general,18,18,POS",acos,extraction
The best !,"-1,-1,restaurant general,1,1,POS",acos,extraction
"If we were to move from the upper east side , we would genuinely miss this restaurant .","16,16,restaurant general,14,14,POS",acos,extraction
SO GOOD,"-1,-1,restaurant general,1,1,POS",acos,extraction
"It doesn ' t look appetizing as it ' s covered in squid ink and it turns your lips and teeth black , but the taste was phenomenal .","-1,-1,food style_options,1,5,NEG,-1,-1,food quality,27,27,POS",acos,extraction
The only problem is that the manager is a complete incompetent .,"6,6,service general,10,10,NEG",acos,extraction
Make sure you have the Spicy Scallop roll . . .,"5,7,food quality,0,1,POS",acos,extraction
"After dinner the manager grabbed my boyfriend , asked him : Where are you from . . . maybe you dont know how things work in America . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .","3,3,service general,38,38,NEG",acos,extraction
Prices are fair across the board for both food and bev .,"8,8,food prices,2,2,POS,10,10,drinks prices,2,2,POS",acos,extraction
This is a wonderful place on all stand points especially value ofr money .,"4,4,restaurant prices,3,3,POS,4,4,restaurant general,3,3,POS",acos,extraction
you know what i mean all the positives things happening there made mw write this review .,"-1,-1,restaurant general,7,7,POS",acos,extraction
We will return many times for this oasis in mid - town .,"-1,-1,restaurant general,2,2,POS",acos,extraction
I recommend it !,"-1,-1,restaurant general,1,1,POS",acos,extraction
A beautifully designed dreamy Egyptian restaurant that gets sceney at night .,"4,5,ambience general,3,3,POS",acos,extraction
This is the perfect date spot for Williamsburg couples .,"-1,-1,restaurant miscellaneous,3,3,POS",acos,extraction
Indoor was very cozy and cute .,"0,0,ambience general,3,3,POS,0,0,ambience general,5,5,POS",acos,extraction
As always we had a great glass of wine while we waited .,"6,8,drinks quality,5,5,POS",acos,extraction
I recently went to this restaurant with some co - workers for lunch and had an amazing time .,"5,5,restaurant general,16,17,POS",acos,extraction
We did n ' t want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough .,"18,20,drinks style_options,24,24,POS",acos,extraction
"It ' s boring on the inside , and our sushi was pretty below average . . . the tuna was soggy and the other rolls had no flavor .","-1,-1,ambience general,3,3,NEG,10,10,food quality,13,14,NEG,19,19,food quality,21,21,NEG,25,25,food quality,27,28,NEG",acos,extraction
"Reliable , Fresh Sushi","3,3,food quality,0,0,POS",acos,extraction
My daughter ' s wedding reception at Water ' s Edge received the highest compliments from our guests .,"7,10,restaurant miscellaneous,13,14,POS",acos,extraction
"Also , I personally was n ' t a fan of the portobello and asparagus mole .","12,15,food quality,9,9,NEG",acos,extraction
If you want good authentic Thai this place is not the place to go .,"5,5,food quality,3,4,NEG",acos,extraction
The pizza is yummy and I like the atmoshpere .,"1,1,food quality,3,3,POS,8,8,ambience general,6,6,POS",acos,extraction
