text,target_aos,target_cs,t5_str_pred_aos,flan_t5_str_pred_aos,t5_str_pred_cs,flan_t5_str_pred_cs
I waited for 10 - 15 minutes for service ordered a beer & was never served again .,"( service , never served again , negative )","( service general , negative )","( service, waited for 10 - 15 minutes, negative )","( NULL, never served again, negative )","( service general, negative )","( service general, negative )"
The ambiance was a peaceful and relaxing break amongst all the kids running around in Downtown Disney .,"( ambiance , peaceful , positive )","( ambience general , positive )","( ambiance, peaceful, positive ) ; ( ambiance, relaxing, positive )","( ambiance, peaceful, positive ) ; ( ambiance, relaxing, positive )","( ambience general, positive )","( ambience general, positive )"
hidden little jem,"( NULL , hidden , positive )","( restaurant general , positive )","( jem, hidden little jem, negative )","( NULL, hidden little jem, negative )","( food style_options, positive )","( restaurant miscellaneous, neutral )"
I went there with a friend from out of town . . . and we were both very impressed !,"( NULL , impressed , positive )","( restaurant general , positive )","( NULL, impressed, positive )","( NULL, impressed, positive )","( restaurant general, positive )","( restaurant general, positive )"
It has great sushi and even better service .,"( sushi , great , positive ) ; ( service , better , positive )","( food quality , positive ) ; ( service general , positive )","( sushi, great, positive ) ; ( service, better, positive )","( sushi, great, positive ) ; ( service, better, positive )","( food quality, positive ) ; ( service general, positive )","( food quality, positive ) ; ( service general, positive )"
All their menu items are a hit /AS/ and they serve mimosas .,"( menu items , hit , positive )","( food quality , positive )","( menu items, hit, positive ) ; ( mimosas, serve mimosas, positive )","( menu items, hit, positive ) ; ( mimosas, serve mimosas, positive )","( food quality, positive )","( food quality, positive )"
– . . . and the best summertime deck experience - - they will even bring you a blanket if you get cold in the Seattle evening weather .,"( deck , best , positive ) ; ( NULL , bring you a blanket , positive )","( ambience general , positive ) ; ( service general , positive )","( NULL, best, positive )","( NULL, best, positive )","( restaurant miscellaneous, positive )","( restaurant miscellaneous, positive )"
– After 12 years in Seattle Ray ' s rates as the place we always go back to .,"( Ray ' s , go back , positive )","( restaurant general , positive )","( Ray's, go back, positive )","( Ray's, go back, positive )","( restaurant general, positive )","( restaurant general, positive )"
You Ca n ' t Go Wrong Here .,"( NULL , Ca n ' t Go Wrong , positive )","( restaurant general , positive )","( NULL, Wrong, positive )","( NULL, You Can't Go Wrong, positive )","( restaurant general, positive )","( restaurant general, positive )"
I think I have probably tried each item on their menu at least once it is all excellent .,"( menu , excellent , positive )","( food quality , positive )","( menu, excellent, positive )","( menu, excellent, positive )","( food quality, positive )","( food quality, positive )"
– The pepperoni ' s cut real thick - - Yum .,"( pepperoni ' s , thick , positive )","( food style_options , positive )","( pepperoni's, thick, positive )","( pepperoni, thick, positive )","( food quality, positive )","( food quality, positive )"
Green tea creme brulee gets better each time I have it .,"( Green tea creme brulee , better , positive )","( food quality , positive )","( Green tea creme brulee, better, positive )","( Green tea creme brulee, better, positive )","( food quality, positive )","( food quality, positive )"
not too fine thought that you feel uncomfortable and have to dress up .,"( NULL , fine , positive )","( ambience general , positive )","( NULL, uncomfortable, negative )","( NULL, not too fine, negative )","( restaurant miscellaneous, neutral )","( ambience general, negative )"
Atmosphere was nice .,"( Atmosphere , nice , positive )","( ambience general , positive )","( Atmosphere, nice, positive )","( Atmosphere, nice, positive )","( ambience general, positive )","( ambience general, positive )"
absolutely fabulous ! ! !,"( NULL , fabulous , positive )","( restaurant general , positive )","( NULL, fabulous, positive )","( NULL, fabulous, positive )","( restaurant general, positive )","( restaurant general, positive )"
AVOID THE PLACE,"( PLACE , AVOID , negative )","( restaurant general , negative )","( PLACE, AVOID, negative )","( PLACE, AVOID, negative )","( restaurant general, negative )","( restaurant general, negative )"
To be honest /AS/ I ' ve had better frozen pizza .,"( pizza , better , negative )","( food quality , negative )","( frozen pizza, had better, negative )","( frozen pizza, better, negative )","( food quality, negative )","( food quality, negative )"
The service was exceptional - sometime there was a feeling that we were served by the army of friendly waiters .,"( service , exceptional , positive ) ; ( waiters , friendly , positive )","( service general , positive )","( service, exceptional, positive )","( service, exceptional, positive )","( service general, positive )","( service general, positive )"
And they packaged everything nicely so it did n ' t spill .,"( NULL , nicely , positive )","( service general , positive )","( NULL, didn't spill, positive )","( NULL, nicely, positive )","( food style_options, positive )","( food style_options, positive )"
VERY GOOD !,"( NULL , GOOD , positive )","( restaurant general , positive )","( NULL, GOOD, positive )","( NULL, GOOD, positive )","( restaurant general, positive )","( restaurant general, positive )"
The food is sinful .,"( food , sinful , positive )","( food quality , positive )","( food, sinful, negative )","( food, sinful, negative )","( food quality, negative )","( food quality, negative )"
To start off /AS/ approximately 8 - 10 oz of orange juice will cost you $ 3 .,"( orange juice , cost you $ 3 , negative )","( drinks prices , negative )","( orange juice, cost you $ 3, negative )","( orange juice, $ 3, negative )","( drinks prices, negative )","( drinks prices, negative )"
good sake selection .,"( sake selection , good , positive )","( drinks style_options , positive )","( sake selection, good, positive )","( sake selection, good, positive )","( drinks style_options, positive )","( drinks style_options, positive )"
While I could have done without the youth who shared the evening with us /AS/ our wonderful server and food made the experience a very positive one .,"( server , wonderful , positive ) ; ( food , wonderful , positive ) ; ( NULL , positive , positive )","( service general , positive ) ; ( food quality , positive ) ; ( restaurant miscellaneous , positive )","( server, wonderful, positive ) ; ( food, wonderful, positive ) ; ( NULL, positive )","( server, wonderful, positive ) ; ( food, positive, positive )","( service general, positive ) ; ( food quality, positive )","( service general, positive ) ; ( food quality, positive )"
What a find !,"( NULL , What a find , positive )","( restaurant general , positive )","( NULL, find, positive )","( NULL, what a find, positive )","( restaurant general, positive )","( restaurant general, positive )"
– Mioposto has a very creative & delicious pizza menu .,"( pizza menu , delicious , positive ) ; ( pizza menu , creative , positive )","( food quality , positive ) ; ( food style_options , positive )","( pizza menu, creative, positive ) ; ( pizza menu, delicious, positive )","( pizza menu, creative, positive ) ; ( pizza menu, delicious, positive )","( food style_options, positive ) ; ( food quality, positive )","( food style_options, positive ) ; ( food quality, positive )"
On a recent trip /AS/ our waiter was extremely dismissive /AS/ while no less than three staff members waited hand - and - foot on a pair of Japanese girls seated nearby .,"( waiter , dismissive , negative )","( service general , negative )","( waiter, dismissive, negative ) ; ( pair of Japanese girls, seated nearby, negative )","( waiter, dismissive, negative )","( service general, negative )","( service general, negative )"
i would normally not finish the brocolli when i order these kinds of food but for the first time /AS/ every piece was as eventful as the first one . . . the scallops and prawns was so fresh and nicely cooked .,"( scallops , fresh , positive ) ; ( scallops , nicely cooked , positive ) ; ( prawns , fresh , positive ) ; ( prawns , nicely cooked , positive ) ; ( brocolli , eventful , positive )","( food quality , positive )","( brocolli, eventful, positive ) ; ( scallops and prawns, fresh, positive ) ; ( scallops and prawns, nicely cooked, positive )","( food, eventful, positive ) ; ( scallops and prawns, fresh, positive ) ; ( scallops and prawns, nicely cooked, positive )","( food quality, positive )","( food quality, positive )"
It is n ' t the cheapest sushi but has been worth it every time .,"( sushi , is n ' t the cheapest , neutral ) ; ( sushi , worth , positive )","( food prices , neutral ) ; ( food quality , positive )","( sushi,n't the cheapest, negative ) ; ( sushi, worth, positive )","( sushi,n't the cheapest, negative ) ; ( sushi, worth, positive )","( food prices, negative ) ; ( food quality, positive )","( food prices, negative ) ; ( food quality, positive )"
