#FORMAT=Datasaur TSV 3

#Text=halo selamat sore betul dengan ibu indri < napas > tarara dewi gunadi
1-1	0-4	halo	_	_	_	_	_
1-2	5-12	selamat	_	_	_	_	_
1-3	13-17	sore	_	_	_	_	_
1-4	18-23	betul	_	_	_	_	_
1-5	24-30	dengan	_	_	_	_	_
1-6	31-34	ibu	_	_	_	_	_
1-7	35-40	indri	_	_	_	_	_
1-8	41-42	<	_	_	_	_	_
1-9	43-48	napas	_	_	_	_	_
1-10	49-50	>	_	_	_	_	_
1-11	51-57	tarara	_	_	_	_	_
1-12	58-62	dewi	_	_	_	_	_
1-13	63-69	gunadi	_	_	_	_	_

#Text=halo
2-1	71-75	halo	_	_	_	_	_

#Text=bukan
3-1	77-82	bukan	_	_	_	_	_

#Text=bukan
4-1	84-89	bukan	_	_	_	_	_

#Text=tapi kenal dengan ibu indri tidak
5-1	91-95	tapi	_	_	_	_	_
5-2	96-101	kenal	_	_	_	_	_
5-3	102-108	dengan	_	_	_	_	_
5-4	109-112	ibu	_	_	_	_	_
5-5	113-118	indri	_	_	_	_	_
5-6	119-124	tidak	_	_	_	_	_

#Text=iya
6-1	126-129	iya	_	_	_	_	_

#Text=< em > begitu ini dengan ibu siapa saya bicara mohon maaf
7-1	131-132	<	_	_	_	_	_
7-2	133-135	em	_	_	_	_	_
7-3	136-137	>	_	_	_	_	_
7-4	138-144	begitu	_	_	_	_	_
7-5	145-148	ini	_	_	_	_	_
7-6	149-155	dengan	_	_	_	_	_
7-7	156-159	ibu	_	_	_	_	_
7-8	160-165	siapa	_	_	_	_	_
7-9	166-170	saya	_	_	_	_	_
7-10	171-177	bicara	_	_	_	_	_
7-11	178-183	mohon	_	_	_	_	_
7-12	184-188	maaf	_	_	_	_	_

#Text=tidak
8-1	190-195	tidak	_	_	_	_	_

#Text=sindy
9-1	197-202	sindy	_	_	_	_	_

#Text=saya sindy
10-1	204-208	saya	_	_	_	_	_
10-2	209-214	sindy	_	_	_	_	_

#Text=< em > begitu tinggal nya di mana bu sindy
11-1	216-217	<	_	_	_	_	_
11-2	218-220	em	_	_	_	_	_
11-3	221-222	>	_	_	_	_	_
11-4	223-229	begitu	_	_	_	_	_
11-5	230-237	tinggal	_	_	_	_	_
11-6	238-241	nya	_	_	_	_	_
11-7	242-244	di	_	_	_	_	_
11-8	245-249	mana	_	_	_	_	_
11-9	250-252	bu	_	_	_	_	_
11-10	253-258	sindy	_	_	_	_	_

#Text=sindy
12-1	260-265	sindy	_	_	_	_	_

#Text=saya dengan jesicca ini dari bca
13-1	267-271	saya	_	_	_	_	_
13-2	272-278	dengan	_	_	_	_	_
13-3	279-286	jesicca	_	_	_	_	_
13-4	287-290	ini	_	_	_	_	_
13-5	291-295	dari	_	_	_	_	_
13-6	296-299	bca	_	_	_	_	_

#Text=iya
14-1	301-304	iya	_	_	_	_	_

#Text=okay terima kasih
15-1	306-310	okay	_	_	_	_	_
15-2	311-317	terima	_	_	_	_	_
15-3	318-323	kasih	_	_	_	_	_

#Text=kenapa iya
16-1	325-331	kenapa	_	_	_	_	_
16-2	332-335	iya	_	_	_	_	_

#Text=< oh > enggak punya kartu bca saya maaf iya
17-1	337-338	<	_	_	_	_	_
17-2	339-341	oh	_	_	_	_	_
17-3	342-343	>	_	_	_	_	_
17-4	344-350	enggak	_	_	_	_	_
17-5	351-356	punya	_	_	_	_	_
17-6	357-362	kartu	_	_	_	_	_
17-7	363-366	bca	_	_	_	_	_
17-8	367-371	saya	_	_	_	_	_
17-9	372-376	maaf	_	_	_	_	_
17-10	377-380	iya	_	_	_	_	_

#Text=iya
18-1	382-385	iya	_	_	_	_	_
