text,target_aos,target_cs,t5_str_pred_aos,flan_t5_str_pred_aos,t5_str_pred_cs,flan_t5_str_pred_cs
Gross food – Wow -,"( food , Gross , negative )","( food quality , negative )","( food, Gross, positive )","( food, Gross, negative )","( food quality, positive )","( food quality, positive )"
its alright,"( NULL , alright , neutral )","( restaurant general , neutral )","( NULL, alright, neutral )","( NULL, alright, positive )","( restaurant general, positive )","( restaurant general, neutral )"
Great place to relax and enjoy your dinner,"( place , Great , positive )","( ambience general , positive )","( place, Great, positive )","( place, Great, positive )","( ambience general, positive )","( ambience general, positive )"
The decor however seems to be the distraction so you wo n ' t notice that you just payed 300 bucks for some cold eggplant that took 2 FRICKIN HOURS TO COME ! ! ! !,"( decor , distraction , neutral ) ; ( eggplant , cold , negative ) ; ( eggplant , 300 bucks , negative ) ; ( NULL , 2 FRICKIN HOURS , negative )","( ambience general , neutral ) ; ( food quality , negative ) ; ( food prices , negative ) ; ( service general , negative )","( decor, distraction, negative )","( decor, distraction, negative )","( ambience general, negative )","( ambience general, negative )"
quacamole at pacifico is yummy /AS/ as are the wings with chimmichuri .,"( quacamole , yummy , positive ) ; ( wings with chimmichuri , yummy , positive )","( food quality , positive )","( quacamole, yummy, positive ) ; ( wings, yummy, positive )","( quacamole at pacifico, yummy, positive ) ; ( wings with chimmichuri, yummy, positive )","( food quality, positive )","( food quality, positive )"
The hot dogs are good /AS/ yes /AS/ but the reason to get over here is the fantastic pork croquette sandwich /AS/ perfect on its supermarket squishy bun .,"( hot dogs , good , positive ) ; ( pork croquette sandwich , fantastic , positive ) ; ( bun , perfect , positive )","( food quality , positive )","( hot dogs, good, positive ) ; ( pork croquette sandwich, fantastic, positive ) ; ( bun, supermarket squishy, positive )","( hot dogs, good, positive ) ; ( pork croquette sandwich, fantastic, positive )","( food quality, positive ) ; ( food style_options, positive )","( food quality, positive )"
In the end you end up with a fair tab and NOTHING BUT A GREAT TIME ! ! !,"( NULL , fair , positive ) ; ( NULL , GREAT , positive )","( restaurant prices , positive ) ; ( restaurant general , positive )","( NULL, fair, neutral ) ; ( NULL, GREAT, positive )","( tab, fair, negative ) ; ( NULL, GREAT, positive )","( restaurant general, positive )","( restaurant general, negative ) ; ( restaurant general, negative )"
But the best pork souvlaki I ever had is the main thing .,"( pork souvlaki , best , positive )","( food quality , positive )","( pork souvlaki, best, positive )","( pork souvlaki, best, positive )","( food quality, positive )","( food quality, positive )"
Appetizers took nearly an hour .,"( NULL , nearly an hour , negative )","( service general , negative )","( Appetizers, took nearly an hour, negative )","( Appetizers, took nearly an hour, negative )","( food style_options, negative )","( food quality, negative )"
The entree was also very good .,"( entree , good , positive )","( food quality , positive )","( entree, good, positive )","( entree, good, positive )","( food quality, positive )","( food quality, positive )"
