text,prompt,target,raw_prediction,editdistance_prediction,cut_predictions,remove_predictions,string_preds
"Terutama , untuk pembukaan rumah sakit baru dan penambahan bed di rumah sakit eksisting .",ekstraksi triplet aste :,[],[],[],[],[],NONE
"MANDALIKA , KOMPAS.com - Dua hari ke depan sejak Kamis ( 16 / 5 / 2022 ) , perhelatan Pertamina Grand Prix of Indonesia 2022 akan berlangsung .",ekstraksi triplet aste :,[],[],[],[],[],NONE
"Komisi Nasional Hak Asasi Manusia ( Komnas HAM ) meminta agar Gubernur Jawa Tengah agar dapat menjamin masa depan anak-anak di Desa Wadas , Kabupaten Purworejo , yang saat ini masih berkonflik .",ekstraksi triplet aste :,[],"[{'aspect': 'masa depan anak-anak', 'opinion': 'masih berkonflik', 'sentiment': 'negative'}]","[{'aspect': 'masa depan anak-anak', 'opinion': 'masih berkonflik', 'sentiment': 'negative'}]","[{'aspect': 'masa depan anak-anak', 'opinion': 'masih berkonflik', 'sentiment': 'negative'}]","[{'aspect': 'masa depan anak-anak', 'opinion': 'masih berkonflik', 'sentiment': 'negative'}]","( masa depan anak-anak, masih berkonflik, negative )"
"Sandiaga Uno dalam catatan nya sebagaimana data dari rilis yang disiarkan Kementerian Komunikasi dan Informasi menunjukkan sedikitnya 6.492 kamar akomodasi masih tersedia di Lombok , NTB .",ekstraksi triplet aste :,[],"[{'aspect': 'kamar akomodasi', 'opinion': 'masih tersedia', 'sentiment': 'positive'}]","[{'aspect': 'kamar akomodasi', 'opinion': 'masih tersedia', 'sentiment': 'positive'}]","[{'aspect': 'kamar akomodasi', 'opinion': 'masih tersedia', 'sentiment': 'positive'}]","[{'aspect': 'kamar akomodasi', 'opinion': 'masih tersedia', 'sentiment': 'positive'}]","( kamar akomodasi, masih tersedia, positive )"
Indah pun memberikan dua tips self healing yang bisa dilakukan lansia di masa pandemi .,ekstraksi triplet aste :,[],[],[],[],[],NONE
"Menurut nya , salah satu agenda kunjungan kerja ke Kaltim adalah memastikan lahan bakal ibu kota baru berstatus tanah negara .",ekstraksi triplet aste :,[],[],[],[],[],NONE
Kendati ada pengurangan masa karantina tiga hari .,ekstraksi triplet aste :,"[{'aspect': 'masa karantina', 'opinion': 'pengurangan', 'sentiment': 'negative'}]","[{'aspect': 'masa karantina', 'opinion': 'pengurangan', 'sentiment': 'positive'}]","[{'aspect': 'masa karantina', 'opinion': 'pengurangan', 'sentiment': 'positive'}]","[{'aspect': 'masa karantina', 'opinion': 'pengurangan', 'sentiment': 'positive'}]","[{'aspect': 'masa karantina', 'opinion': 'pengurangan', 'sentiment': 'positive'}]","( masa karantina, pengurangan, positive )"
"Untuk pemegang tiket untuk konser 12 Februari dan 12 Februari , pengembalian uang akan diberikan sesuai dengan prosedur pembatalan masing-masing platform tiket .",ekstraksi triplet aste :,[],[],[],[],[],NONE
"Namun setiap tahun , angka impor ini terus meningkat seiring dengan meningkat nya kebutuhan , namun tidak diimbangi dengan produksi dari dalam negeri .",ekstraksi triplet aste :,"[{'aspect': 'angka impor', 'opinion': 'terus meningkat', 'sentiment': 'negative'}, {'aspect': 'angka impor', 'opinion': 'tidak diimbangi dengan produksi dari dalam negeri', 'sentiment': 'negative'}]","[{'aspect': 'kebutuhan', 'opinion': 'meningkat', 'sentiment': 'negative'}, {'aspect': 'angka impor', 'opinion': 'terus meningkat', 'sentiment': 'negative'}]","[{'aspect': 'kebutuhan', 'opinion': 'meningkat', 'sentiment': 'negative'}, {'aspect': 'angka impor', 'opinion': 'terus meningkat', 'sentiment': 'negative'}]","[{'aspect': 'kebutuhan', 'opinion': 'meningkat', 'sentiment': 'negative'}, {'aspect': 'angka impor', 'opinion': 'terus meningkat', 'sentiment': 'negative'}]","[{'aspect': 'kebutuhan', 'opinion': 'meningkat', 'sentiment': 'negative'}, {'aspect': 'angka impor', 'opinion': 'terus meningkat', 'sentiment': 'negative'}]","( angka impor, terus meningkat, negative ) ; ( kebutuhan, meningkat, negative )"
"Sumber energi utama Kota Pagar Alam berasal dari 3 pembangkit EBT yakni Pembangkit Listrik Tenaga Minihidro ( PLTM ) Green Lahat dengan kapasitas 9,99 Megawatt , Pembangkit Listrik Tenaga Panas Bumi ( PLTP ) Lumut Balai dengan kapasitas 55 Megawatt , dan PLTP Rantau Dedap dengan kapasitas 91,2 Megawatt .",ekstraksi triplet aste :,[],[],[],[],[],NONE
