input,output,se_order,paradigm
"Definitely a great spot for a nice occasion or date .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant miscellaneous,sc,extraction
"My friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> dim sum <extra_id_1> neutral ; <extra_id_2> dim sum <extra_id_3> neutral,as,extraction
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .| category : <extra_id_0>,<extra_id_0> location general,c,extraction
"We went here for lunch a couple of weeks ago on a Saturday , and I was thoroughly impressed with the food .| opinion : <extra_id_0>",<extra_id_0> impressed,o,extraction
I lOVE THIS PLACE !| aspect : <extra_id_0>,<extra_id_0> PLACE,a,extraction
"this little place has a cute interior decor and affordable city prices .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> ambience general ; <extra_id_2> positive <extra_id_3> restaurant prices,sc,extraction
"The lava cake dessert was incredible and I recommend it .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> positive <extra_id_3> food quality,sc,extraction
"Calling the place Hampton Chutney Co . does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> place <extra_id_1> negative ; <extra_id_2> room <extra_id_3> negative ; <extra_id_4> clerks <extra_id_5> negative,as,extraction
"they were dry and disgusting , i did n ' t even finish my first piece .| aspect : <extra_id_0>",<extra_id_0> NULL ; <extra_id_1> NULL,a,extraction
"Ask for Usha , the nicest bartender in manhattan .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> nicest <extra_id_1> Usha,oa,extraction
"but when we looked at the menu , there weren ' t a lot of choices , most of them were dumplings in the appetizer section .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> menu <extra_id_1> negative,as,extraction
"But that is highly forgivable .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant miscellaneous,sc,extraction
"The crust has a great bite and a good chew , the sauce is light with a nice acidity to it , the salt from the cheese is great , really heightens the flavor of all the other components .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> positive <extra_id_5> food quality ; <extra_id_6> positive <extra_id_7> food quality,sc,extraction
"The service is awful .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> service general,sc,extraction
"We concluded with tiramisu chocolate cake , both were delicious .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> delicious <extra_id_1> tiramisu chocolate cake,oa,extraction
"Ca n ' t wait to go back .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> go back <extra_id_1> NULL,oa,extraction
"On a recent Sunday afternoon , a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> great <extra_id_1> restaurant,oa,extraction
Also very inexpensive .| category : <extra_id_0>,<extra_id_0> restaurant prices,c,extraction
"My husbands was perfect , my was well done and dry .| aspect : <extra_id_0>",<extra_id_0> NULL ; <extra_id_1> NULL ; <extra_id_2> NULL,a,extraction
"However , our main course was wonderful .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> main course <extra_id_1> positive,as,extraction
"We did tip , I guess the model / waitress just wanted more and complained to the manager .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> service general,sc,extraction
Service was prompt and courteous .| category : <extra_id_0>,<extra_id_0> service general ; <extra_id_1> service general,c,extraction
"This was my frist time at Cafe St . Bart ' s and I must say how delicious the food and the service was .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"They were such a rip - off ( $ 8 . 95 for four small meat patties in steamed buns ) and not worth trying .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative ; <extra_id_2> NULL <extra_id_3> negative ; <extra_id_4> NULL <extra_id_5> negative,as,extraction
"With so many poor experiences to be had in the theater district , is truly an excellent find !| aspect : <extra_id_0>",<extra_id_0> NULL,a,extraction
"Considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> service general ; <extra_id_2> positive <extra_id_3> service general,sc,extraction
"Also , because it is so thin , it gets cold very quickly and its not that filling .| aspect : <extra_id_0>",<extra_id_0> NULL ; <extra_id_1> NULL,a,extraction
"Both times I was extremely dissappointed by the service , which was boarderline rude .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> dissappointed <extra_id_1> service ; <extra_id_2> rude <extra_id_3> service,oa,extraction
Located at the end of a magnificent block .| opinion : <extra_id_0>,<extra_id_0> magnificent,o,extraction
Overall I would recommend it and go back again .| opinion : <extra_id_0>,<extra_id_0> recommend,o,extraction
Food is excellent .| category : <extra_id_0>,<extra_id_0> food quality,c,extraction
"A guaranteeed delight !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"Decent wine at reasonable prices .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Decent <extra_id_1> wine ; <extra_id_2> reasonable <extra_id_3> wine,oa,extraction
