text,prompt,target,raw_prediction,editdistance_prediction,cut_predictions,remove_predictions,string_preds
"Many people complain about the new OS , and it 's urgent for Apple to fix it asap !",extract aste triplet :,"[{'aspect': 'OS', 'opinion': 'complain', 'sentiment': 'negative'}]","[{'aspect': 'OS', 'opinion': 'complain', 'sentiment': 'negative'}]","[{'aspect': 'OS', 'opinion': 'complain', 'sentiment': 'negative'}]","[{'aspect': 'OS', 'opinion': 'complain', 'sentiment': 'negative'}]","[{'aspect': 'OS', 'opinion': 'complain', 'sentiment': 'negative'}]","( OS, complain, negative )"
: ] It arrived so fast and customer service was great .,extract aste triplet :,"[{'aspect': 'customer service', 'opinion': 'great', 'sentiment': 'positive'}]","[{'aspect': 'customer service', 'opinion': 'great', 'sentiment': 'positive'}]","[{'aspect': 'customer service', 'opinion': 'great', 'sentiment': 'positive'}]","[{'aspect': 'customer service', 'opinion': 'great', 'sentiment': 'positive'}]","[{'aspect': 'customer service', 'opinion': 'great', 'sentiment': 'positive'}]","( customer service, great, positive )"
The technical support was not helpful as well .,extract aste triplet :,"[{'aspect': 'technical support', 'opinion': 'not helpful', 'sentiment': 'negative'}]","[{'aspect': 'technical support', 'opinion': 'not helpful', 'sentiment': 'negative'}]","[{'aspect': 'technical support', 'opinion': 'not helpful', 'sentiment': 'negative'}]","[{'aspect': 'technical support', 'opinion': 'not helpful', 'sentiment': 'negative'}]","[{'aspect': 'technical support', 'opinion': 'not helpful', 'sentiment': 'negative'}]","( technical support, not helpful, negative )"
I was a little worry at first because I do n't have a lot of experience with os.x and windows has always been second nature to me after many years of using windows .,extract aste triplet :,"[{'aspect': 'os.x', 'opinion': 'worry', 'sentiment': 'neutral'}]","[{'aspect': 'windows', 'opinion': 'second nature', 'sentiment': 'positive'}]","[{'aspect': 'windows', 'opinion': 'second nature', 'sentiment': 'positive'}]","[{'aspect': 'windows', 'opinion': 'second nature', 'sentiment': 'positive'}]","[{'aspect': 'windows', 'opinion': 'second nature', 'sentiment': 'positive'}]","( windows, second nature, positive )"
Biggest complaint is Windows 8 .,extract aste triplet :,"[{'aspect': 'Windows 8', 'opinion': 'complaint', 'sentiment': 'negative'}]","[{'aspect': 'Windows 8', 'opinion': 'complaint', 'sentiment': 'negative'}]","[{'aspect': 'Windows 8', 'opinion': 'complaint', 'sentiment': 'negative'}]","[{'aspect': 'Windows 8', 'opinion': 'complaint', 'sentiment': 'negative'}]","[{'aspect': 'Windows 8', 'opinion': 'complaint', 'sentiment': 'negative'}]","( Windows 8, complaint, negative )"
The only thing I dislike about this laptop are the rubber pads found on the bottom of the computer for grip .,extract aste triplet :,"[{'aspect': 'rubber pads', 'opinion': 'dislike', 'sentiment': 'negative'}]","[{'aspect': 'rubber pads', 'opinion': 'grip', 'sentiment': 'negative'}, {'aspect': 'rubber pads', 'opinion': 'dislike', 'sentiment': 'negative'}]","[{'aspect': 'rubber pads', 'opinion': 'grip', 'sentiment': 'negative'}, {'aspect': 'rubber pads', 'opinion': 'dislike', 'sentiment': 'negative'}]","[{'aspect': 'rubber pads', 'opinion': 'grip', 'sentiment': 'negative'}, {'aspect': 'rubber pads', 'opinion': 'dislike', 'sentiment': 'negative'}]","[{'aspect': 'rubber pads', 'opinion': 'grip', 'sentiment': 'negative'}, {'aspect': 'rubber pads', 'opinion': 'dislike', 'sentiment': 'negative'}]","( rubber pads, dislike, negative ) ; ( rubber pads, grip, negative )"
Only 2 usb ports ... seems kind of ... limited .,extract aste triplet :,"[{'aspect': 'usb ports', 'opinion': 'limited', 'sentiment': 'negative'}]","[{'aspect': 'usb ports', 'opinion': 'limited', 'sentiment': 'negative'}]","[{'aspect': 'usb ports', 'opinion': 'limited', 'sentiment': 'negative'}]","[{'aspect': 'usb ports', 'opinion': 'limited', 'sentiment': 'negative'}]","[{'aspect': 'usb ports', 'opinion': 'limited', 'sentiment': 'negative'}]","( usb ports, limited, negative )"
Needs a CD/DVD drive and a bigger power switch .,extract aste triplet :,"[{'aspect': 'power switch', 'opinion': 'bigger', 'sentiment': 'negative'}]","[{'aspect': 'power switch', 'opinion': 'bigger', 'sentiment': 'negative'}, {'aspect': 'CD/DVD drive', 'opinion': 'needs', 'sentiment': 'negative'}]","[{'aspect': 'power switch', 'opinion': 'bigger', 'sentiment': 'negative'}, {'aspect': 'CD/DVD drive', 'opinion': 'Needs', 'sentiment': 'negative'}]","[{'aspect': 'power switch', 'opinion': 'bigger', 'sentiment': 'negative'}, {'aspect': 'CD/DVD drive', 'opinion': 'needs', 'sentiment': 'negative'}]","[{'aspect': 'power switch', 'opinion': 'bigger', 'sentiment': 'negative'}]","( CD/DVD drive, needs, negative ) ; ( power switch, bigger, negative )"
"So happy with this purchase , I just wish it came with Microsoft Word .",extract aste triplet :,"[{'aspect': 'Microsoft Word', 'opinion': 'wish', 'sentiment': 'neutral'}]","[{'aspect': 'Microsoft Word', 'opinion': 'wish', 'sentiment': 'negative'}]","[{'aspect': 'Microsoft Word', 'opinion': 'wish', 'sentiment': 'negative'}]","[{'aspect': 'Microsoft Word', 'opinion': 'wish', 'sentiment': 'negative'}]","[{'aspect': 'Microsoft Word', 'opinion': 'wish', 'sentiment': 'negative'}]","( Microsoft Word, wish, negative )"
great price free shipping what else can i ask for ! !,extract aste triplet :,"[{'aspect': 'price', 'opinion': 'great', 'sentiment': 'positive'}, {'aspect': 'shipping', 'opinion': 'free', 'sentiment': 'positive'}]","[{'aspect': 'shipping', 'opinion': 'free', 'sentiment': 'positive'}, {'aspect': 'price', 'opinion': 'great', 'sentiment': 'positive'}]","[{'aspect': 'shipping', 'opinion': 'free', 'sentiment': 'positive'}, {'aspect': 'price', 'opinion': 'great', 'sentiment': 'positive'}]","[{'aspect': 'shipping', 'opinion': 'free', 'sentiment': 'positive'}, {'aspect': 'price', 'opinion': 'great', 'sentiment': 'positive'}]","[{'aspect': 'shipping', 'opinion': 'free', 'sentiment': 'positive'}, {'aspect': 'price', 'opinion': 'great', 'sentiment': 'positive'}]","( price, great, positive ) ; ( shipping, free, positive )"
