text_a,text_b,label
kamar saya ada kendala di ac tidak berfungsi optimal . dan juga wifi koneksi kurang stabil .,ac-tidak berfungsi optimal,1
kamar saya ada kendala di ac tidak berfungsi optimal . dan juga wifi koneksi kurang stabil .,ac-kurang stabil,0
kamar saya ada kendala di ac tidak berfungsi optimal . dan juga wifi koneksi kurang stabil .,wifi koneksi-tidak berfungsi optimal,0
kamar saya ada kendala di ac tidak berfungsi optimal . dan juga wifi koneksi kurang stabil .,wifi koneksi-kurang stabil,1
tempatnya bagus . kolam renangnya bersih .,tempatnya-bagus,1
tempatnya bagus . kolam renangnya bersih .,tempatnya-bersih,0
tempatnya bagus . kolam renangnya bersih .,kolam renangnya-bagus,0
tempatnya bagus . kolam renangnya bersih .,kolam renangnya-bersih,1
"oke banget , tetapi ac nya tidak bisa diatur suhu nya .",ac nya-tidak bisa diatur,1
pintu geser kurang rapat .,pintu geser-kurang rapat,1
keren . nyaman semuanya .,semuanya-nyaman,1
"tidak dapat snack . setelah di keluhan , baru dikasik snacknya .",snack-tidak dapat,1
pelayanan lumayan baik .,pelayanan-lumayan baik,1
overall bagus . terjangkau . kapan kapam inap di airy room lagi deh .,overall-bagus,1
"pelayanan mas nya sangat baik , membantu , ramah dan komunikatif , kamar sangat bersih , kamar mandi sangat baik . cuma air panasnya tidak bisa lama .",pelayanan mas nya-sangat baik,1
"pelayanan mas nya sangat baik , membantu , ramah dan komunikatif , kamar sangat bersih , kamar mandi sangat baik . cuma air panasnya tidak bisa lama .",pelayanan mas nya-membantu,1
"pelayanan mas nya sangat baik , membantu , ramah dan komunikatif , kamar sangat bersih , kamar mandi sangat baik . cuma air panasnya tidak bisa lama .",pelayanan mas nya-ramah,1
"pelayanan mas nya sangat baik , membantu , ramah dan komunikatif , kamar sangat bersih , kamar mandi sangat baik . cuma air panasnya tidak bisa lama .",pelayanan mas nya-komunikatif,1
"pelayanan mas nya sangat baik , membantu , ramah dan komunikatif , kamar sangat bersih , kamar mandi sangat baik . cuma air panasnya tidak bisa lama .",pelayanan mas nya-sangat bersih,0
"pelayanan mas nya sangat baik , membantu , ramah dan komunikatif , kamar sangat bersih , kamar mandi sangat baik . cuma air panasnya tidak bisa lama .",pelayanan mas nya-tidak bisa lama,0
"pelayanan mas nya sangat baik , membantu , ramah dan komunikatif , kamar sangat bersih , kamar mandi sangat baik . cuma air panasnya tidak bisa lama .",kamar-sangat baik,0
"pelayanan mas nya sangat baik , membantu , ramah dan komunikatif , kamar sangat bersih , kamar mandi sangat baik . cuma air panasnya tidak bisa lama .",kamar-membantu,0
"pelayanan mas nya sangat baik , membantu , ramah dan komunikatif , kamar sangat bersih , kamar mandi sangat baik . cuma air panasnya tidak bisa lama .",kamar-ramah,0
"pelayanan mas nya sangat baik , membantu , ramah dan komunikatif , kamar sangat bersih , kamar mandi sangat baik . cuma air panasnya tidak bisa lama .",kamar-komunikatif,0
"pelayanan mas nya sangat baik , membantu , ramah dan komunikatif , kamar sangat bersih , kamar mandi sangat baik . cuma air panasnya tidak bisa lama .",kamar-sangat bersih,1
