text,prompt,target,raw_prediction,editdistance_prediction,cut_predictions,remove_predictions,string_preds
"It 's located in a strip mall near the Beverly Center , not the greatest location , but the food keeps me coming back for more .",extract aste triplet :,"[{'aspect': 'location', 'opinion': 'not the greatest', 'sentiment': 'neutral'}]","[{'aspect': 'strip mall', 'opinion': 'not the greatest', 'sentiment': 'neutral'}, {'aspect': 'food', 'opinion': 'keeps me coming back', 'sentiment': 'positive'}]","[{'aspect': 'strip mall', 'opinion': 'not the greatest', 'sentiment': 'neutral'}, {'aspect': 'food', 'opinion': 'keeps me coming back', 'sentiment': 'positive'}]","[{'aspect': 'strip mall', 'opinion': 'not the greatest', 'sentiment': 'neutral'}, {'aspect': 'food', 'opinion': 'keeps me coming back', 'sentiment': 'positive'}]","[{'aspect': 'strip mall', 'opinion': 'not the greatest', 'sentiment': 'neutral'}, {'aspect': 'food', 'opinion': 'keeps me coming back', 'sentiment': 'positive'}]","( food, keeps me coming back, positive ) ; ( strip mall, not the greatest, neutral )"
"To start things off , our lovely server Brooke was quickly on hand to take my drink order .",extract aste triplet :,"[{'aspect': 'Brooke', 'opinion': 'lovely', 'sentiment': 'positive'}, {'aspect': 'Brooke', 'opinion': 'quickly', 'sentiment': 'positive'}]","[{'aspect': 'server', 'opinion': 'lovely', 'sentiment': 'positive'}]","[{'aspect': 'server', 'opinion': 'lovely', 'sentiment': 'positive'}]","[{'aspect': 'server', 'opinion': 'lovely', 'sentiment': 'positive'}]","[{'aspect': 'server', 'opinion': 'lovely', 'sentiment': 'positive'}]","( server, lovely, positive )"
The band was very good and the service was attentive .,extract aste triplet :,"[{'aspect': 'band', 'opinion': 'good', 'sentiment': 'positive'}, {'aspect': 'service', 'opinion': 'attentive', 'sentiment': 'positive'}]","[{'aspect': 'service', 'opinion': 'attentive', 'sentiment': 'positive'}, {'aspect': 'band', 'opinion': 'good', 'sentiment': 'positive'}]","[{'aspect': 'service', 'opinion': 'attentive', 'sentiment': 'positive'}, {'aspect': 'band', 'opinion': 'good', 'sentiment': 'positive'}]","[{'aspect': 'service', 'opinion': 'attentive', 'sentiment': 'positive'}, {'aspect': 'band', 'opinion': 'good', 'sentiment': 'positive'}]","[{'aspect': 'service', 'opinion': 'attentive', 'sentiment': 'positive'}, {'aspect': 'band', 'opinion': 'good', 'sentiment': 'positive'}]","( band, good, positive ) ; ( service, attentive, positive )"
Fresh ingrediants and super tasty .,extract aste triplet :,"[{'aspect': 'ingrediants', 'opinion': 'Fresh', 'sentiment': 'positive'}, {'aspect': 'ingrediants', 'opinion': 'tasty', 'sentiment': 'positive'}]","[{'aspect': 'ingrediants', 'opinion': 'tasty', 'sentiment': 'positive'}, {'aspect': 'ingrediants', 'opinion': 'Fresh', 'sentiment': 'positive'}]","[{'aspect': 'ingrediants', 'opinion': 'tasty', 'sentiment': 'positive'}, {'aspect': 'ingrediants', 'opinion': 'Fresh', 'sentiment': 'positive'}]","[{'aspect': 'ingrediants', 'opinion': 'tasty', 'sentiment': 'positive'}, {'aspect': 'ingrediants', 'opinion': 'Fresh', 'sentiment': 'positive'}]","[{'aspect': 'ingrediants', 'opinion': 'tasty', 'sentiment': 'positive'}, {'aspect': 'ingrediants', 'opinion': 'Fresh', 'sentiment': 'positive'}]","( ingrediants, Fresh, positive ) ; ( ingrediants, tasty, positive )"
My favortie pizza joint in Seattle,extract aste triplet :,"[{'aspect': 'pizza joint', 'opinion': 'favortie', 'sentiment': 'positive'}]","[{'aspect': 'favortie pizza joint', 'opinion': 'favortie', 'sentiment': 'positive'}]","[{'aspect': 'favortie pizza joint', 'opinion': 'favortie', 'sentiment': 'positive'}]","[{'aspect': 'favortie pizza joint', 'opinion': 'favortie', 'sentiment': 'positive'}]","[{'aspect': 'favortie pizza joint', 'opinion': 'favortie', 'sentiment': 'positive'}]","( favortie pizza joint, favortie, positive )"
Groovy music made the dinner casual .,extract aste triplet :,"[{'aspect': 'music', 'opinion': 'casual', 'sentiment': 'positive'}]","[{'aspect': 'music', 'opinion': 'Groovy', 'sentiment': 'positive'}]","[{'aspect': 'music', 'opinion': 'Groovy', 'sentiment': 'positive'}]","[{'aspect': 'music', 'opinion': 'Groovy', 'sentiment': 'positive'}]","[{'aspect': 'music', 'opinion': 'Groovy', 'sentiment': 'positive'}]","( music, Groovy, positive )"
Seabass on lobster risotto was the best .,extract aste triplet :,"[{'aspect': 'Seabass on lobster risotto', 'opinion': 'best', 'sentiment': 'positive'}]","[{'aspect': 'Seabass on lobster risotto', 'opinion': 'best', 'sentiment': 'positive'}]","[{'aspect': 'Seabass on lobster risotto', 'opinion': 'best', 'sentiment': 'positive'}]","[{'aspect': 'Seabass on lobster risotto', 'opinion': 'best', 'sentiment': 'positive'}]","[{'aspect': 'Seabass on lobster risotto', 'opinion': 'best', 'sentiment': 'positive'}]","( Seabass on lobster risotto, best, positive )"
The pancakes were certainly inventive but $ 8.50 for 3 - 6 '' pancakes ( one of them was more like 5 '' ) in the pancake flight ( sample of 3 different pancakes ) is well over-priced .,extract aste triplet :,"[{'aspect': 'pancakes', 'opinion': 'inventive', 'sentiment': 'negative'}, {'aspect': 'pancakes', 'opinion': 'over-priced', 'sentiment': 'negative'}]","[{'aspect': 'pancakes', 'opinion': 'inventive', 'sentiment': 'negative'}, {'aspect': 'pancakes', 'opinion': 'over-priced', 'sentiment': 'negative'}]","[{'aspect': 'pancakes', 'opinion': 'inventive', 'sentiment': 'negative'}, {'aspect': 'pancakes', 'opinion': 'over-priced', 'sentiment': 'negative'}]","[{'aspect': 'pancakes', 'opinion': 'inventive', 'sentiment': 'negative'}, {'aspect': 'pancakes', 'opinion': 'over-priced', 'sentiment': 'negative'}]","[{'aspect': 'pancakes', 'opinion': 'inventive', 'sentiment': 'negative'}, {'aspect': 'pancakes', 'opinion': 'over-priced', 'sentiment': 'negative'}]","( pancakes, inventive, negative ) ; ( pancakes, over-priced, negative )"
"Our waiter was non-existent and after our food finally arrived over an hour after we ordered , we were not given any water or utensils .",extract aste triplet :,"[{'aspect': 'waiter', 'opinion': 'non-existent', 'sentiment': 'negative'}]","[{'aspect': 'waiter', 'opinion': 'non-existent', 'sentiment': 'negative'}]","[{'aspect': 'waiter', 'opinion': 'non-existent', 'sentiment': 'negative'}]","[{'aspect': 'waiter', 'opinion': 'non-existent', 'sentiment': 'negative'}]","[{'aspect': 'waiter', 'opinion': 'non-existent', 'sentiment': 'negative'}]","( waiter, non-existent, negative )"
I am so happy to have a wonderful Italian restaurant in my neighborhood .,extract aste triplet :,"[{'aspect': 'Italian restaurant', 'opinion': 'wonderful', 'sentiment': 'positive'}]","[{'aspect': 'Italian restaurant', 'opinion': 'wonderful', 'sentiment': 'positive'}]","[{'aspect': 'Italian restaurant', 'opinion': 'wonderful', 'sentiment': 'positive'}]","[{'aspect': 'Italian restaurant', 'opinion': 'wonderful', 'sentiment': 'positive'}]","[{'aspect': 'Italian restaurant', 'opinion': 'wonderful', 'sentiment': 'positive'}]","( Italian restaurant, wonderful, positive )"
