prompt,text,output
Extract all the Amenity entity in the text,2 start restaurants with inside dining,inside dining
Extract all the Price entity in the text,34,NONE
Extract all the Location entity in the text,5 star resturants in my town,in my town
Extract all the Restaurant Name entity in the text,98 hong kong restaurant reasonable prices,hong kong
Extract all the Restaurant Name entity in the text,a great lunch spot but open till 2 a m passims kitchen,passims kitchen
Extract all the Dish entity in the text,a place that serves soft serve ice cream,soft serve ice cream
Extract all the Amenity entity in the text,a restaurant that is good for groups,for groups
Extract all the Dish entity in the text,a salad would make my day,salad
Extract all the Cuisine entity in the text,a smoothie would hit the spot,smoothie
Extract all the Dish entity in the text,a steak would be nice,steak
Extract all the Location entity in the text,a sub place near independence boulevard,near independence boulevard
Extract all the Cuisine entity in the text,about how much is a midpriced bottle of good wine at davidos italian palace,wine
Extract all the Restaurant Name entity in the text,about how much will it cost to eat at johns pizza cafe for dinner per person,johns pizza cafe
Extract all the Location entity in the text,adress of the nearest cracker barrel,nearest
Extract all the Hours entity in the text,after hour dining,after hour dining
Extract all the Dish entity in the text,all i want is a bagel and coffee can you direct me,bagel and coffee
Extract all the Dish entity in the text,all i want is salmon,salmon
Extract all the Location entity in the text,all i want is some fresh fruits where is the nearest supermarket,nearest supermarket
Extract all the Dish entity in the text,all i want is some good chili can you help me find that,chili
Extract all the Location entity in the text,along my route tell me the next steak house that is within a mile,within a mile
Extract all the Cuisine entity in the text,alot of parking indian food,indian
Extract all the Restaurant Name entity in the text,although a good burger would be good time for burger king,burger king
Extract all the Restaurant Name entity in the text,am i ablle to get a reservation at mcdills tonight,mcdills
Extract all the Cuisine entity in the text,american style restaurants reviews,american
Extract all the Amenity entity in the text,anniversary dinner,anniversary dinner
Extract all the Cuisine entity in the text,any 50s style diners around,diners
Extract all the Cuisine entity in the text,any bars around that are open before 11 a m,bars
Extract all the Location entity in the text,any beanery restaurants at the north end,north end
Extract all the Location entity in the text,any beanery restaurants on westborough,westborough
Extract all the Amenity entity in the text,any beef cuisine restaurants with brewpub and great prices,brewpub
Extract all the Location entity in the text,any buffet style restaurant in my area,in my area
Extract all the Amenity entity in the text,any business eateries with great portions,"business eateries , great portions"
Extract all the Location entity in the text,any busy restaurants around here,around here
Extract all the Cuisine entity in the text,any cali eateries open at 11 am,cali eateries
Extract all the Amenity entity in the text,any chance i can get a reservation at that fine dining place thats the top rated on tripadvisor,"reservation , fine dining"
