input,output,se_order,paradigm
"The service was extremely fast and attentive ( thanks to the service button on your table ) but I barely understood 1 word when the waiter took our order .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> fast <extra_id_1> service <extra_id_2> positive <extra_id_3> service general ; <extra_id_4> attentive <extra_id_5> service <extra_id_6> positive <extra_id_7> service general ; <extra_id_8> thanks to <extra_id_9> service button <extra_id_10> positive <extra_id_11> service general ; <extra_id_12> barely understood <extra_id_13> waiter <extra_id_14> negative <extra_id_15> service general,oasc,extraction
"It was well worth the wait .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> worth <extra_id_1> NULL <extra_id_2> positive <extra_id_3> restaurant general,oasc,extraction
"I CAN EAT HERE EVERY DAY OF THE WEEK REALLY LOL LOVE THIS PLACE . . . )| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"Average to good Thai food , but terrible delivery .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> negative <extra_id_3> service general,sc,extraction
"A different server enhanced the fun , dumping our entrees in front of us halfway through our appetizer ( which was delicious ) .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> enhanced <extra_id_1> server ; <extra_id_2> delicious <extra_id_3> appetizer,oa,extraction
"You can not go wrong at the Red Eye Grill .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> can not go wrong <extra_id_1> Red Eye Grill <extra_id_2> positive <extra_id_3> restaurant general,oasc,extraction
"Nice Family owned traditional restaurant .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> restaurant <extra_id_1> positive,as,extraction
"You should pass on the calamari .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> pass <extra_id_1> calamari,oa,extraction
"This is by far my favorite place in the neighborhood .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> place <extra_id_1> positive,as,extraction
"I ' ve never had bad service and the fish is fresh and delicious .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> service general ; <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> positive <extra_id_5> food quality,sc,extraction
"so delicious ! ! ! ! ! !| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> delicious <extra_id_1> NULL <extra_id_2> positive <extra_id_3> food quality,oasc,extraction
"I heard the lobster roll was excellent .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> excellent <extra_id_1> lobster roll,oa,extraction
"The wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she ' s - way - cuter - than - me - that - b @ # $ * way ) .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> service general ; <extra_id_2> positive <extra_id_3> service general ; <extra_id_4> positive <extra_id_5> service general,sc,extraction
"The food was absolutely amazing ! !| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> amazing <extra_id_1> food,oa,extraction
"Once you step into Cosette , you ' re miraculously in a small , off - the - beaten path Parisian bistro .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> off - the - beaten <extra_id_1> Cosette,oa,extraction
"JUST AWSOME .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"the last time i walked by it looked pretty empty . hmmm .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> empty <extra_id_1> NULL <extra_id_2> negative <extra_id_3> restaurant miscellaneous,oasc,extraction
"We all felt it was worth it .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> worth <extra_id_1> NULL <extra_id_2> positive <extra_id_3> restaurant general,oasc,extraction
"great for a romantic evening , or a fun evening with friends . . .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> romantic <extra_id_1> NULL <extra_id_2> positive <extra_id_3> ambience general ; <extra_id_4> fun <extra_id_5> NULL <extra_id_6> positive <extra_id_7> restaurant miscellaneous,oasc,extraction
"The service was attentive , yet discreet .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> service general ; <extra_id_2> positive <extra_id_3> service general,sc,extraction
"highly recommended .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> highly recommended <extra_id_1> NULL,oa,extraction
"Maybe it was the great company ( I had friends visiting from Philly – yes , it was not a date this time ) or the super reasonable price point , but I just can ’ t say enough good things about this brasserie .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> good <extra_id_1> brasserie ; <extra_id_2> good <extra_id_3> brasserie,oa,extraction
"Go hungry and enjoy .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"Try sushimi cucumber roll .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> sushimi cucumber roll <extra_id_1> positive,as,extraction
"Overall , not worth the money .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> restaurant prices,sc,extraction
"I ' m still mad that i had to pay for lousy food .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> lousy <extra_id_1> food <extra_id_2> negative <extra_id_3> food quality,oasc,extraction
"Once you step into Cosette , you ' re miraculously in a small , off - the - beaten path Parisian bistro .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Cosette <extra_id_1> positive,as,extraction
"My friend got the mushroom pizza which tasted better .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> better <extra_id_1> mushroom pizza <extra_id_2> positive <extra_id_3> food quality,oasc,extraction
"I ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much . . . and we ' re repeat customers .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Mizu <extra_id_1> positive,as,extraction
"The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> worth <extra_id_1> Prix Fixe menu <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> worth <extra_id_5> Prix Fixe menu <extra_id_6> positive <extra_id_7> food style_options ; <extra_id_8> worth <extra_id_9> Prix Fixe menu <extra_id_10> positive <extra_id_11> food prices,oasc,extraction
"You can not go wrong at the Red Eye Grill .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> can not go wrong <extra_id_1> Red Eye Grill,oa,extraction
"I had the best ravioli ever .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> best <extra_id_1> ravioli,oa,extraction
